strategy,period,sharpe,ff5_alpha,ff5_alpha_t
strategy_1A_med,pre_2008,-0.2237993664491138,-0.011845363949364796,-1.0807206890757164
strategy_1A_med,post_2007,0.006846649683198281,-0.0012883556981567578,-0.2434300234328353
