variant,sharpe,ff5_alpha,ff5_alpha_t
1A-Med (baseline),-0.05241583413236483,-0.004311316630867572,-0.9170338529651536
Tercile classifier,-0.03618227701660262,-0.003595021404548419,-0.7430251721833494
VIX-augmented signal,-0.007306245543068277,-0.0027741416750790737,-0.5657230440215002
