series,capm_alpha,ff3_alpha,ff5_alpha,capm_alpha_t,ff3_alpha_t,ff5_alpha_t,capm_alpha_p,ff3_alpha_p,ff5_alpha_p,capm_r_squared,ff3_r_squared,ff5_r_squared
Binary_Strategy,-0.0004,-0.0017,-0.0017,-0.1232,-0.6212,-0.6272,0.9019,0.5344,0.5305,0.0739,0.1723,0.1744
Dynamic_Timing,-0.0005,-0.0009,-0.0019,-0.153,-0.2773,-0.5574,0.8784,0.7816,0.5772,0.1153,0.1228,0.1415
Equal_Weight,0.0036,0.0024,0.001,1.2938,0.9066,0.4205,0.1957,0.3646,0.6741,0.2265,0.2936,0.3362
