date,ret
2001-01-31,-0.07636563517033308
2001-02-28,0.0642514909327005
2001-03-31,0.014303695311396067
2001-04-30,-0.04650265750768407
2001-05-31,0.01850564198448377
2001-06-30,0.15299815299214836
2001-07-31,-0.04728946361003157
2001-08-31,0.036613225546070584
2001-09-30,0.056148184929635574
2001-10-31,0.03652981896166384
2001-11-30,-0.1163997647056895
2001-12-31,0.0036664608777083954
2002-01-31,-0.07513630005650511
2002-02-28,0.09635390732689676
2002-03-31,-0.03654858038767796
2002-04-30,0.09361049858865636
2002-05-31,0.007335416416343138
2002-06-30,0.1185376145830032
2002-07-31,0.09125998067191585
2002-08-31,-0.1523468705865094
2002-09-30,0.023200404649082025
2002-10-31,-0.10808999707260501
2002-11-30,-0.12418684332726625
2002-12-31,0.016553167325958976
2003-01-31,0.022446922405800065
2003-02-28,-0.05044876116177344
2003-03-31,0.017172284821930173
2003-04-30,-0.040167035198098056
2003-05-31,-0.08970411484289345
2003-06-30,0.028187503071376324
2003-07-31,-0.0016366911929136876
2003-08-31,0.011581804984526116
2003-09-30,0.014497634164435589
2003-10-31,0.01871024004001173
2003-11-30,0.04560253578189985
2003-12-31,-0.1791503059794338
2004-01-31,0.07534461824561034
2004-02-29,-0.04004663342833974
2004-03-31,0.01911714793142539
2004-04-30,-0.10012578643900166
2004-05-31,0.006560310207692866
2004-06-30,-0.039934404090986426
2004-07-31,-0.04577095748923268
2004-08-31,-0.03467685200861527
2004-09-30,0.02684505249077894
2004-10-31,0.0596704732833482
2004-11-30,-0.08177996108094265
2004-12-31,0.056256943556607764
2005-01-31,-0.016064233516958133
2005-02-28,0.024294706045397484
2005-03-31,-0.029040378894220106
2005-04-30,0.007864484438761766
2005-05-31,0.006635701595544251
2005-06-30,-0.011596701167138393
2005-07-31,-0.05420182411497283
2005-08-31,0.02285244290765101
2005-09-30,0.010248266075019798
2005-10-31,-0.03239260180931081
2005-11-30,2.0348200400657768e-05
2005-12-31,-0.005589803435693411
2006-01-31,-0.049923917735520226
2006-02-28,0.049434757054615905
2006-03-31,0.009285888919021427
2006-04-30,-0.04939416959763386
2006-05-31,-0.008938685053940144
2006-06-30,0.037163208087633286
2006-07-31,0.08528956195444513
2006-08-31,0.05730402861850077
2006-09-30,0.08795506311502388
2006-10-31,-0.062469060440224336
2006-11-30,-0.057015670804419216
2006-12-31,0.07316444955061645
2007-01-31,-0.014077322357129086
2007-02-28,0.005199894673155047
2007-03-31,-0.02593425173962633
2007-04-30,-0.005304393419474335
2007-05-31,0.015081862915998312
2007-06-30,-0.04550433843342443
2007-07-31,-0.027401835336586754
2007-08-31,-0.03909830602421525
2007-09-30,0.040138083554743
2007-10-31,0.08192105779530864
2007-11-30,0.060888798491942744
2007-12-31,0.012111610723851843
2008-01-31,0.08773753694368709
