date,lambda,w_prof,w_inv,w_lowvol,forecast_prof,forecast_inv,forecast_lowvol
2009-03-31,0.3,0.32826600946260315,0.13888498452459946,0.5328490060127975,0.06175508162504359,-0.03080803904412399,0.15019311828379234
2009-04-30,0.3,0.015367051329651814,0.4308485479316175,0.5537844007387308,-0.09663695471100081,-0.02116472083781018,-0.0056746731522859944
2009-05-31,0.3,-0.0656791434142235,0.5483287109277304,-0.38599214565804607,-0.1329074378386436,0.1941814001914145,-0.29421799647146596
2009-06-30,0.3,0.37330288173790516,0.11907974631693574,-0.5076173719451591,-0.012582708232208195,-0.0699184804024891,-0.21493887434190417
2009-07-31,0.3,0.27773737523546327,0.6752070056115461,-0.047055619152990585,0.036961375496682755,0.24601367690094295,-0.12385179347300143
2009-08-31,0.3,0.26948945383975836,0.38827066513008196,-0.3422398810301597,-0.0522404190759756,-0.02786517085539376,-0.15878750908027328
2009-09-30,0.3,0.40876544917623825,0.32765646163991863,-0.2635780891838432,-0.0217130707940717,-0.03424671775633556,-0.14892825383597968
2009-10-31,0.3,-0.3774693374358992,0.5454910591196188,-0.07703960344448195,-0.13700809076805115,-0.04426422764903998,-0.1076420919095833
2009-11-30,0.1,-0.11903707980243335,-0.8261861882455096,-0.05477673195205711,-0.05163324706157632,-0.16749923193967842,-0.03901671776348983
2009-12-31,0.1,-0.31245371190528254,-0.6018211668565308,0.08572512123818672,-0.10102577006567369,-0.1763908138401124,-0.015313299317900656
2010-01-31,0.1,-0.1654009252235428,-0.6540991787410927,0.18049989603536445,-0.06757215049229193,-0.18052552299807706,0.0014709787325212428
2010-02-28,0.3,0.05769936248390436,0.1714879409951249,0.7708126965209707,-0.09007119042170861,-0.0709957842292689,0.023786253379195182
2010-03-31,0.3,-0.14007879349629462,0.07451757329166273,0.7854036332120428,-0.12358191988994305,-0.08752311924457452,0.029294002562119874
2010-04-30,1.0,0.2982439352082079,0.31954380558995704,0.38221225920183516,-0.06411657351794865,-0.04236263176751512,0.007348411154554792
2010-05-31,0.1,-0.23408447711657393,0.5211653101338544,0.2447502127495719,-0.08952995101343808,0.10366648521799648,0.017851733452222587
2010-06-30,0.1,-0.5421962694708163,0.2820016369855668,0.1758020935436168,-0.1841738156488555,0.05227821921673355,0.008791401386897319
2010-07-31,0.1,-0.31372901977821166,0.04247165661347838,0.64379932360831,-0.06881837725155537,-0.02892593849294439,0.03301934346936555
2010-08-31,0.1,-0.4761241774927488,-0.11984194625657518,0.404033876250676,-0.07791858426131587,-0.046043501415293425,0.0008325416458194223
2010-09-30,0.1,0.12223723247420505,-0.6018887494772814,0.27587401804851347,-0.02847789352465077,-0.05825211684446766,-0.023563578423674805
2010-10-31,0.1,-0.8066273000522404,0.04552208959681663,0.1478506103509429,-0.094136633186437,-0.029427518908043047,-0.02395205390904348
2010-11-30,0.1,-0.413447375387151,0.2604355697769439,0.32611705483590514,-0.05657240409610448,-0.017503150518615153,-0.017177673400480403
2010-12-31,0.1,-0.3208512119188226,0.41097384893879113,0.26817493914238644,-0.08358531943844119,0.03620334113126325,0.0029780533673665274
2011-01-31,0.1,-0.33966690058000665,0.3330543310908667,0.3272787683291266,-0.08329053076161108,0.019603858795170025,0.008928033939772855
2011-02-28,0.1,-0.11337811389694176,0.508061028390322,0.37856085771273634,-0.048278553159840455,0.03868251698211403,0.01057848425510171
2011-03-31,0.1,-0.30136651769530415,0.4406791485153944,0.2579543337893015,-0.06088318365279072,0.010097300554532125,-0.012961440326215417
2011-04-30,0.1,-0.4903231965194854,-0.2901310968044837,0.21954570667603082,-0.07387035248485882,-0.0594796582803533,-0.016891355968645813
2011-05-31,0.3,0.34921152606224887,0.23523924354983972,0.4155492303879115,-0.022185996456101836,-0.04690303267663487,-0.011010592140780217
2011-06-30,0.3,0.46319405274205505,0.07848840231907596,0.45831754493886906,-0.0003106154636917102,-0.08351023488631745,-0.005016770631291521
2011-07-31,0.3,0.25026328303840084,0.2979573215164303,0.45177939544516893,-0.04063546814910103,-0.02841615080238419,0.002674169668470041
2011-08-31,100.0,0.3331139142316375,0.3331322838509999,0.3337538019173626,-0.04690560719348592,-0.04318599325317268,0.01292610356076085
2011-09-30,100.0,0.33285268360801634,0.33318006956954266,0.33396724682244106,-0.10206094536232474,-0.0675810031108897,0.005137784184325141
2011-10-31,100.0,0.33333439083876804,0.3326043828536177,0.33406122630761426,-0.0513964438715388,-0.12268687310130962,0.01706925725662419
2011-11-30,100.0,0.33304983769774654,0.3330768504022097,0.33387331190004377,-0.07901058269792655,-0.07493515055190608,-0.000907969049736241
2011-12-31,100.0,0.33315068232033623,0.3333472647933978,0.3335020528862659,-0.030717122251703036,-0.009781482319528766,0.000264925026779661
2012-01-31,100.0,0.3334473889636242,0.3332280952851838,0.333324515751192,0.03700361680585915,0.016309208679962495,0.02059144085770813
2012-02-29,100.0,0.33371266252554094,0.33273082553194755,0.33355651194251157,0.007013429533967034,-0.0897267455447141,-0.012583593930593513
2012-03-31,100.0,0.3336916079610764,0.3329260809824656,0.333382311056458,0.022687095047398416,-0.052443173511887126,-0.012438715627835824
2012-04-30,100.0,0.33360530101182073,0.33302953136897584,0.3333651676192034,0.010792783246884471,-0.04534810595568535,-0.017373070555988687
2012-05-31,100.0,0.3339238190080466,0.3329371514291778,0.33313902956277563,0.07450126006064413,-0.022810684600091037,-0.008142106099669963
2012-06-30,100.0,0.3337350384262527,0.3330795993981079,0.33318536217563954,0.05432525898813909,-0.00983965403816726,-0.004716642058145119
2012-07-31,100.0,0.33374088078522673,0.3330003167288772,0.33325880248589607,0.054844862436504896,-0.01783379583522284,0.0025982290115771182
2012-08-31,100.0,0.33383483792747826,0.3330240575846895,0.33314110448783235,0.08271301234352255,0.0029588486247368578,0.00928047729944435
2012-09-30,100.0,0.33340698319284723,0.33340050337066396,0.33319251343648887,0.023500194275372307,0.024133102106937705,-0.0019859907768011225
2012-10-31,100.0,0.3331254099181334,0.33361174283565553,0.3332628472462111,-0.011801896056710334,0.03815638612060018,-0.002070544794870642
2012-11-30,100.0,0.3328101257695551,0.3339155526108981,0.3332743216195468,-0.04094972036884821,0.07093542542335482,0.0015009120886224307
2012-12-31,100.0,0.3329957702944043,0.3337366685497887,0.333267561155807,-0.03233704844551029,0.0430534824928553,-0.009110004370684403
2013-01-31,100.0,0.3328470552401205,0.3336127818785342,0.33354016288134525,-0.07448831879537138,0.0033350508205549287,-0.009115757154261083
2013-02-28,100.0,0.3330802567240399,0.3337545040795055,0.33316523919645447,-0.019255486516998776,0.04947516221415503,-0.01463777968868007
2013-03-31,100.0,0.33318308947540504,0.33393237106660856,0.33288453945798635,0.010368619530654662,0.0867218484090273,-0.023325374438043157
2013-04-30,100.0,0.33327399123055107,0.33402831328903915,0.3326976954804099,0.03249643600321895,0.10935183694997085,-0.029024942327456164
2013-05-31,100.0,0.33328523817433786,0.3338870609917999,0.3328277008338622,0.024494903514438924,0.0860402672101695,-0.025103927316895633
2013-06-30,100.0,0.3328977122885116,0.33387589646503335,0.3332263912464551,-0.04710530078813188,0.05201173889314214,-0.017995214269899674
2013-07-31,100.0,0.33290449644247355,0.33368974293838966,0.33340576061913685,-0.05585741495304382,0.02393469149819833,-0.009477583293372283
2013-08-31,100.0,0.3330466434103169,0.3336745976745216,0.3332787589151615,-0.017139646847319535,0.046971502906811735,0.0023755694528729207
2013-09-30,100.0,0.33295813663399243,0.33375891645126915,0.3332829469147383,-0.02223749978816532,0.05916363480901568,0.006581408245306217
2013-10-31,100.0,0.3330717473169008,0.33375916521570453,0.33316908746739476,-0.00593489235099,0.06412738988520938,0.0001596774658655202
2013-11-30,100.0,0.33310759954562846,0.33373788341601573,0.33315451703835575,-0.006799145857673874,0.057548525819919025,-0.0057151177974095815
2013-12-31,100.0,0.3331828633063419,0.3337446135737443,0.33307252311991387,0.005586477895942218,0.0630858626358543,-0.00903616446392316
2014-01-31,0.3,0.3025486300005221,0.42194570335461534,0.27550566664486265,0.01057875458585191,0.056672399965578685,-0.002736040668843205
2014-02-28,0.3,0.22367779427616566,0.4647733144211942,0.31154889130264013,-0.022374484069580366,0.06380877322281674,0.0041888102146633785
2014-03-31,0.1,0.0524193376897896,0.6590834008901587,0.2884972614200518,-0.0259201019425036,0.06611021138258527,0.003410799429793984
2014-04-30,0.1,0.08336221041607084,0.567632267806414,0.34900552177751515,-0.02259805243167915,0.042481827013123516,0.0065161244933235225
2014-05-31,0.1,0.2864981458200695,0.503841993896085,0.2096598602838456,0.013566498384707824,0.05348285643556176,-0.002137507059488026
2014-06-30,0.1,0.29036933842176826,0.4996683413154175,0.20996232026281433,0.017288097013900126,0.05831975218823548,-2.6392801728319232e-05
2014-07-31,0.1,0.024528633691039876,0.6765673790009525,0.29890398730800755,-0.03072682746243354,0.04470198428059282,-0.004147738972421756
2014-08-31,0.1,-0.1849482047233863,0.4967323186541391,0.3183194766224746,-0.053997174293638116,0.02548200820527024,-0.0015014147975434267
2014-09-30,0.1,0.02717523137660591,0.6710506826355652,0.3017740859878289,-0.03072446979800854,0.0359992169982676,-0.0068721129696372
