series,n_months,mean_annual,vol_annual,sharpe_annual,t_stat,p_value,max_drawdown,turnover_mean_monthly,ff5_alpha,ff5_alpha_t,ff5_alpha_p,ff5_r_squared
FF_Direct_Main,391,0.0499,0.0745,0.6697,3.8226,0.0002,-0.2383,0.0,-0.0011,-1.2222,0.2216,0.6623
FF_Direct_Tercile,391,0.0372,0.0712,0.5221,2.9802,0.0031,-0.2763,0.0,-0.002,-3.7196,0.0002,0.7961
FF_Direct_VIX,391,0.0521,0.0737,0.7074,4.0379,0.0001,-0.2763,0.0,-0.0008,-1.0769,0.2815,0.6809
Self_Built_Main,226,-0.0011,0.2566,-0.0044,-0.0191,0.9848,-0.781,0.0,-0.0039,-0.86,0.3898,0.0143
Self_Built_Tercile,250,-0.0153,0.2492,-0.0613,-0.2797,0.78,-0.8484,0.0,-0.0038,-0.8685,0.3851,0.0108
Self_Built_VIX,222,0.0222,0.2574,0.0863,0.371,0.711,-0.7023,0.0,-0.0016,-0.3241,0.7459,0.0109
