series,capm_alpha,ff3_alpha,ff5_alpha,capm_alpha_t,ff3_alpha_t,ff5_alpha_t,capm_alpha_p,ff3_alpha_p,ff5_alpha_p,capm_r_squared,ff3_r_squared,ff5_r_squared
Ken French RMW+CMA,0.0023,0.0023,-0.0013,2.0648,2.551,-5.9094,0.0389,0.0107,0.0,0.1196,0.4156,0.9922
Main Strategy,-0.0012,-0.0011,-0.0033,-0.4267,-0.3831,-1.2536,0.6696,0.7016,0.21,0.07,0.0939,0.115
QMJ Benchmark,0.0023,0.0025,0.0016,1.2406,1.4178,1.0282,0.2148,0.1562,0.3039,0.017,0.2593,0.3359
Static Equal-Weight Basket,-0.0005,-0.0003,-0.0037,-0.1514,-0.0898,-1.3964,0.8796,0.9284,0.1626,0.128,0.1558,0.2099
