series,n_months,mean_annual,vol_annual,sharpe_annual,t_stat,p_value,max_drawdown,turnover_mean_monthly,ff5_alpha,ff5_alpha_t,ff5_alpha_p,ff5_r_squared
FF RMW+CMA / Cash,285,0.0298,0.0316,0.9407,4.5844,0.0,-0.0801,0.0,0.0003,0.6478,0.5171,0.3282
ML Classifier,283,0.0078,0.1643,0.0474,0.2302,0.8181,-0.6209,0.0,0.0004,0.1742,0.8617,0.126
Main Strategy,285,-0.0239,0.1846,-0.1295,-0.6309,0.5286,-0.7582,0.0,-0.0033,-1.2536,0.21,0.115
Tercile Regime Rule,285,-0.0552,0.1813,-0.3043,-1.4828,0.1392,-0.863,0.0,-0.0056,-2.2588,0.0239,0.1704
VIX-Augmented Signal,285,-0.0253,0.1827,-0.1383,-0.6742,0.5008,-0.7106,0.0,-0.0032,-1.1975,0.2311,0.1178
