date,ret,lambda,forecast_prof,forecast_inv,forecast_lowvol,w_prof,w_inv,w_lowvol,R_prof,R_inv,R_lowvol,RF
2009-03-31,-0.04201348360110941,0.3,0.06175508162504359,-0.03080803904412399,0.15019311828379234,0.32826600946260315,0.13888498452459946,0.5328490060127975,0.16045569138111967,0.13055546480672786,-0.21172569629026822,0.0002
2009-04-30,-0.20295451053153438,0.3,-0.09663695471100081,-0.02116472083781018,-0.0056746731522859944,0.015367051329651814,0.4308485479316175,0.5537844007387308,-0.018609259841995685,-0.08557670455542005,-0.29939077728569213,0.0001
2009-05-31,-0.21090865483108437,0.3,-0.1329074378386436,0.1941814001914145,-0.29421799647146596,-0.0656791434142235,0.5483287109277304,-0.38599214565804607,0.09839709428549438,-0.4358994942491863,-0.08956189964126232,0.0
2009-06-30,-0.02522524615729858,0.3,-0.012582708232208195,-0.0699184804024891,-0.21493887434190417,0.37330288173790516,0.11907974631693574,-0.5076173719451591,-0.10396599379964248,0.2426962318301928,0.030169666433750374,0.0001
2009-07-31,-0.08593554406676347,0.3,0.036961375496682755,0.24601367690094295,-0.12385179347300143,0.27773737523546327,0.6752070056115461,-0.047055619152990585,-0.09277337845748322,-0.09698407892299026,-0.11296036849602241,0.0001
2009-08-31,0.09416092490146129,0.3,-0.0522404190759756,-0.02786517085539376,-0.15878750908027328,0.26948945383975836,0.38827066513008196,-0.3422398810301597,0.15242977275657388,0.018958926145539002,-0.13359493256621371,0.0001
2009-09-30,-0.07592653470512602,0.3,-0.0217130707940717,-0.03424671775633556,-0.14892825383597968,0.40876544917623825,0.32765646163991863,-0.2635780891838432,-0.2142945275223745,0.025117993037218345,-0.013049610391161854,0.0001
2009-10-31,-0.09007059070446079,0.3,-0.13700809076805115,-0.04426422764903998,-0.1076420919095833,-0.3774693374358992,0.5454910591196188,-0.07703960344448195,0.1607649132700372,-0.038922487607778,0.10585330214763818,0.0
2009-11-30,0.09566120957184743,0.1,-0.05163324706157632,-0.16749923193967842,-0.03901671776348983,-0.11903707980243335,-0.8261861882455096,-0.05477673195205711,-0.04888517553661614,-0.10695505281054948,-0.02696899910873115,0.0
2009-12-31,-0.02746176497862418,0.1,-0.10102577006567369,-0.1763908138401124,-0.015313299317900656,-0.31245371190528254,-0.6018211668565308,0.08572512123818672,0.02160436678728017,0.039475012100039786,0.03552631267425603,0.0001
2010-01-31,0.001513190166652262,0.1,-0.06757215049229193,-0.18052552299807706,0.0014709787325212428,-0.1654009252235428,-0.6540991787410927,0.18049989603536445,0.02445921075898482,-0.01784663649105575,-0.03387649605330728,0.0
2010-02-28,-0.03339678358441233,0.3,-0.09007119042170861,-0.0709957842292689,0.023786253379195182,0.05769936248390436,0.1714879409951249,0.7708126965209707,-0.020436703604384758,-0.010303386745546015,-0.03950465836166754,0.0
2010-03-31,-0.06217076828056067,0.3,-0.12358191988994305,-0.08752311924457452,0.029294002562119874,-0.14007879349629462,0.07451757329166273,0.7854036332120428,0.014260491513724063,-0.03693562118143685,-0.07310995333871954,0.0001
2010-04-30,-0.050175102200650516,1.0,-0.06411657351794865,-0.04236263176751512,0.007348411154554792,0.2982439352082079,0.31954380558995704,0.38221225920183516,-0.3278981424476136,0.23524636863942527,-0.07208818940923259,0.0001
2010-05-31,0.09245417870155065,0.1,-0.08952995101343808,0.10366648521799648,0.017851733452222587,-0.23408447711657393,0.5211653101338544,0.2447502127495719,-0.06379309883400128,0.13780194950651958,0.02330379492486262,0.0001
2010-06-30,-0.1451787315816242,0.1,-0.1841738156488555,0.05227821921673355,0.008791401386897319,-0.5421962694708163,0.2820016369855668,0.1758020935436168,0.21815349233641773,-0.14710465571487896,0.08297416464717368,0.0001
2010-07-31,-0.007895120377554249,0.1,-0.06881837725155537,-0.02892593849294439,0.03301934346936555,-0.31372901977821166,0.04247165661347838,0.64379932360831,-0.06577267674596443,-0.060586969289469245,-0.040317980890165236,0.0001
2010-08-31,-0.04435216635484475,0.1,-0.07791858426131587,-0.046043501415293425,0.0008325416458194223,-0.4761241774927488,-0.11984194625657518,0.404033876250676,0.19209910260449062,-0.11530473003400936,0.08240031236710724,0.0001
2010-09-30,-0.01684229033919882,0.1,-0.02847789352465077,-0.05825211684446766,-0.023563578423674805,0.12223723247420505,-0.6018887494772814,0.27587401804851347,-0.05928358824121043,-0.024610471113575144,-0.0884765968057098,0.0001
2010-10-31,-0.012838352554153437,0.1,-0.094136633186437,-0.029427518908043047,-0.02395205390904348,-0.8066273000522404,0.04552208959681663,0.1478506103509429,0.012442458840379998,-0.08996550034456721,0.008748641554545921,0.0001
2010-11-30,0.09878545256138038,0.1,-0.05657240409610448,-0.017503150518615153,-0.017177673400480403,-0.413447375387151,0.2604355697769439,0.32611705483590514,-0.1701847432488295,0.15986658817882174,-0.04051284239973213,0.0001
2010-12-31,0.01849162793293668,0.1,-0.08358531943844119,0.03620334113126325,0.0029780533673665274,-0.3208512119188226,0.41097384893879113,0.26817493914238644,-0.02611483496365546,0.0904690349063668,-0.10093320459406578,0.0001
2011-01-31,-0.0040161090308407565,0.1,-0.08329053076161108,0.019603858795170025,0.008928033939772855,-0.33966690058000665,0.3330543310908667,0.3272787683291266,-0.0016755303431117696,-0.019392141631302172,0.005724189013799464,0.0001
2011-02-28,0.02597390590829051,0.1,-0.048278553159840455,0.03868251698211403,0.01057848425510171,-0.11337811389694176,0.508061028390322,0.37856085771273634,0.0452096103026856,0.06768973427282485,-0.008693000569518595,0.0001
2011-03-31,-0.03184480612278749,0.1,-0.06088318365279072,0.010097300554532125,-0.012961440326215417,-0.30136651769530415,0.4406791485153944,0.2579543337893015,0.1966578788987854,0.060858912208388447,0.0023339030512675284,0.0001
2011-04-30,-0.04126185358861424,0.1,-0.07387035248485882,-0.0594796582803533,-0.016891355968645813,-0.4903231965194854,-0.2901310968044837,0.21954570667603082,0.07960605504868098,0.04853483033361415,0.053985593808772596,0.0
2011-05-31,0.06600556038257548,0.3,-0.022185996456101836,-0.04690303267663487,-0.011010592140780217,0.34921152606224887,0.23523924354983972,0.4155492303879115,0.19592366863691807,-0.10377818635859243,0.05294068070249157,0.0
2011-06-30,-0.004615373745359264,0.3,-0.0003106154636917102,-0.08351023488631745,-0.005016770631291521,0.46319405274205505,0.07848840231907596,0.45831754493886906,-0.03849279335820675,0.07428820126130199,0.01611000291166738,0.0
2011-07-31,0.007436421865284807,0.3,-0.04063546814910103,-0.02841615080238419,0.002674169668470041,0.25026328303840084,0.2979573215164303,0.45177939544516893,0.023836136841162908,0.004925971811022348,7.487366221758246e-06,0.0
2011-08-31,0.06506547300902073,100.0,-0.04690560719348592,-0.04318599325317268,0.01292610356076085,0.3331139142316375,0.3331322838509999,0.3337538019173626,0.10316632780002578,-0.011770898656571495,0.103730953451923,0.0001
2011-09-30,0.11145934946257206,100.0,-0.10206094536232474,-0.0675810031108897,0.005137784184325141,0.33285268360801634,0.33318006956954266,0.33396724682244106,0.18871631821043935,0.01357345839384208,0.13211538291089256,0.0
2011-10-31,-0.04968812355435308,100.0,-0.0513964438715388,-0.12268687310130962,0.01706925725662419,0.33333439083876804,0.3326043828536177,0.33406122630761426,-0.2683847781357734,0.25489173283640293,-0.13471888077536628,0.0
2011-11-30,0.055218998114192445,100.0,-0.07901058269792655,-0.07493515055190608,-0.000907969049736241,0.33304983769774654,0.3330768504022097,0.33387331190004377,0.1482319091555895,-0.02179346453252988,0.03926424451100864,0.0
2011-12-31,0.03316364628575626,100.0,-0.030717122251703036,-0.009781482319528766,0.000264925026779661,0.33315068232033623,0.3333472647933978,0.3335020528862659,0.06340200983030703,-0.009227112902925202,0.045328225621430136,0.0
2012-01-31,-0.06859700562268652,100.0,0.03700361680585915,0.016309208679962495,0.02059144085770813,0.3334473889636242,0.3332280952851838,0.333324515751192,0.048121360104445045,-0.16492588674915637,-0.08905738100706911,0.0
2012-02-29,0.13004734250868244,100.0,0.007013429533967034,-0.0897267455447141,-0.012583593930593513,0.33371266252554094,0.33273082553194755,0.33355651194251157,0.1880261077832772,0.2306046409429229,-0.028266943557832394,0.0
2012-03-31,-0.028581955444836066,100.0,0.022687095047398416,-0.052443173511887126,-0.012438715627835824,0.3336916079610764,0.3329260809824656,0.333382311056458,0.023089615120028814,-0.09655884901459927,-0.012417596607672582,0.0
2012-04-30,0.062115372736251666,100.0,0.010792783246884471,-0.04534810595568535,-0.017373070555988687,0.33360530101182073,0.33302953136897584,0.3333651676192034,0.058492668491321446,0.06319139987991317,0.06466574274276667,0.0
2012-05-31,0.045114281845243964,100.0,0.07450126006064413,-0.022810684600091037,-0.008142106099669963,0.3339238190080466,0.3329371514291778,0.33313902956277563,-0.009249263495664642,0.034120277117848166,0.1105932361437552,0.0001
2012-06-30,0.029291798920266492,100.0,0.05432525898813909,-0.00983965403816726,-0.004716642058145119,0.3337350384262527,0.3330795993981079,0.33318536217563954,0.007745216238306797,0.06616377358940119,0.014013657890136616,0.0
2012-07-31,-0.010798041262771122,100.0,0.054844862436504896,-0.01783379583522284,0.0025982290115771182,0.33374088078522673,0.3330003167288772,0.33325880248589607,-0.017189119881303103,-0.06789344603834195,0.05265340225083252,0.0
2012-08-31,-0.08770305899167341,100.0,0.08271301234352255,0.0029588486247368578,0.00928047729944435,0.33383483792747826,0.3330240575846895,0.33314110448783235,-0.17735287831211305,-0.013662135055863441,-0.07188146293030714,0.0001
2012-09-30,-0.07732942152755967,100.0,0.023500194275372307,0.024133102106937705,-0.0019859907768011225,0.33340698319284723,0.33340050337066396,0.33319251343648887,-0.06730121495377991,-0.13339002028551095,-0.03126848940674068,0.0001
2012-10-31,-0.0041494872494336615,100.0,-0.011801896056710334,0.03815638612060018,-0.002070544794870642,0.3331254099181334,0.33361174283565553,0.3332628472462111,0.045333347963945086,-0.020207080929150766,-0.03753751127633789,0.0001
2012-11-30,0.017199042463817045,100.0,-0.04094972036884821,0.07093542542335482,0.0015009120886224307,0.3328101257695551,0.3339155526108981,0.3332743216195468,0.008380054319773438,0.03913137273515512,0.004031218408566383,0.0001
2012-12-31,-0.05346794352033498,100.0,-0.03233704844551029,0.0430534824928553,-0.009110004370684403,0.3329957702944043,0.3337366685497887,0.333267561155807,-0.00036034697249959485,-0.06530828146330049,-0.09467522464218874,0.0001
2013-01-31,-0.043459893403719765,100.0,-0.07448831879537138,0.0033350508205549287,-0.009115757154261083,0.3328470552401205,0.3336127818785342,0.33354016288134525,-0.08696747827132927,-0.05553945869674229,0.012039476522735994,0.0
2013-02-28,0.03606121323285416,100.0,-0.019255486516998776,0.04947516221415503,-0.01463777968868007,0.3330802567240399,0.3337545040795055,0.33316523919645447,-0.09585025192841429,0.17812152810691062,0.025627455894322783,0.0
2013-03-31,-0.0610108782127831,100.0,0.010368619530654662,0.0867218484090273,-0.023325374438043157,0.33318308947540504,0.33393237106660856,0.33288453945798635,-0.11095022675921112,-0.056413515184925565,-0.015638575482431187,0.0
2013-04-30,0.013457361998226273,100.0,0.03249643600321895,0.10935183694997085,-0.029024942327456164,0.33327399123055107,0.33402831328903915,0.3326976954804099,0.06941363831989995,-0.042734608185592056,0.013820867602286483,0.0
2013-05-31,-0.04994315140399169,100.0,0.024494903514438924,0.0860402672101695,-0.025103927316895633,0.33328523817433786,0.3338870609917999,0.3328277008338622,-0.017940673848680366,-0.04884813648975433,-0.08308812292532061,0.0
2013-06-30,0.0035415784496150332,100.0,-0.04710530078813188,0.05201173889314214,-0.017995214269899674,0.3328977122885116,0.33387589646503335,0.3332263912464551,-0.009454967268350122,0.011053786087864493,0.008998454991445621,0.0
2013-07-31,-0.03385956429177804,100.0,-0.05585741495304382,0.02393469149819833,-0.009477583293372283,0.33290449644247355,0.33368974293838966,0.33340576061913685,-0.03580856176437555,-0.05355890346495906,-0.012197378750874968,0.0
2013-08-31,-0.0063182823066978335,100.0,-0.017139646847319535,0.046971502906811735,0.0023755694528729207,0.3330466434103169,0.3336745976745216,0.3332787589151615,0.02699718539647604,-0.027322785287100318,-0.018581096847147285,0.0
2013-09-30,-0.029288033583899496,100.0,-0.02223749978816532,0.05916363480901568,0.006581408245306217,0.33295813663399243,0.33375891645126915,0.3332829469147383,-0.022391863867910033,-0.027813439428006542,-0.03765418250341545,0.0
2013-10-31,0.028415052045942503,100.0,-0.00593489235099,0.06412738988520938,0.0001596774658655202,0.3330717473169008,0.33375916521570453,0.33316908746739476,-0.015066690575549978,0.07343071842380888,0.026788696957899972,0.0
2013-11-30,-0.03749138072394601,100.0,-0.006799145857673874,0.057548525819919025,-0.0057151177974095815,0.33310759954562846,0.33373788341601573,0.33315451703835575,-0.02518333554378722,-0.060614339926833,-0.026634244192286403,0.0
2013-12-31,0.014157584569118833,100.0,0.005586477895942218,0.0630858626358543,-0.00903616446392316,0.3331828633063419,0.3337446135737443,0.33307252311991387,0.018922603000294996,0.02998230285530183,-0.0064656626132050705,0.0
2014-01-31,-0.02727255231227218,0.3,0.01057875458585191,0.056672399965578685,-0.002736040668843205,0.3025486300005221,0.42194570335461534,0.27550566664486265,-0.05642657074559196,-0.001380040497128145,-0.03491205315840483,0.0
