series,n_months,mean_annual,vol_annual,sharpe_annual,t_stat,p_value,max_drawdown,turnover_mean_monthly,ff5_alpha,ff5_alpha_t,ff5_alpha_p,ff5_r_squared
ML Classifier,391,0.0329,0.0329,0.9995,5.7055,0.0,-0.0673,0.0,-0.0,-0.0748,0.9403,0.2565
Main Strategy,391,0.0311,0.0332,0.9373,5.3501,0.0,-0.1076,0.0,-0.0003,-0.6271,0.5306,0.2961
Tercile Regime Rule,391,0.0349,0.0218,1.5984,9.1242,0.0,-0.0361,0.0,0.0005,1.5797,0.1142,0.1127
VIX-Augmented Signal,391,0.0344,0.0273,1.2588,7.1854,0.0,-0.1092,0.0,0.0003,0.6774,0.4981,0.1694
