date,strategy_3A_T1_returns
2000-03-31,0.06316666506284432
2000-04-30,0.06716666643572328
2000-05-31,0.03369999955875007
2000-06-30,-0.06506666611098735
2000-07-31,0.05586666592855739
2000-08-31,-0.010733332752117472
2000-09-30,0.05159999997798857
2000-10-31,0.06276666606426506
2000-11-30,0.11213333252373024
2000-12-31,0.04763333303552434
2001-01-31,-0.05153333335819559
2001-02-28,0.10119999959131427
2001-03-31,0.04510000002109902
2001-04-30,-0.03669999998240978
2001-05-31,0.018733333230479043
2001-06-30,-0.004533333199478555
2001-07-31,0.05046666684683923
2001-08-31,0.04399999992701294
2001-09-30,0.03300000008747157
2001-10-31,-0.048833333180358846
2001-11-30,-0.010000000216670727
2001-12-31,0.0027000000273262464
2002-01-31,0.036600000276846054
2002-02-28,0.05156666744707076
2002-03-31,-0.0003000007516911356
2002-04-30,0.04650000000477696
2002-05-31,0.02120000009400584
2002-06-30,0.023166667370386557
2002-07-31,-0.0025666650634945027
2002-08-31,0.009933333334772662
2002-09-30,0.007533334005880165
2002-10-31,-0.02063333352552214
2002-11-30,-0.017500002394599812
2002-12-31,0.022133334674555506
2003-01-31,-0.0034333334828446586
2003-02-28,-0.0041666663124734086
2003-03-31,-0.004133332688261723
2003-04-30,-0.008266667724789109
2003-05-31,-0.010566668227898379
2003-06-30,0.0006000000675390782
2003-07-31,-0.013000000596257819
2003-08-31,0.0049999990685390995
2003-09-30,0.00483333348906277
2003-10-31,0.008266666004886602
2003-11-30,0.012033333034259805
2003-12-31,0.00976666652504407
2004-01-31,0.007166665480332061
2004-02-29,0.0063666669955949025
2004-03-31,0.0029999999545586914
2004-04-30,-0.00866666676437441
2004-05-31,-0.004466666656969931
2004-06-30,0.0067333333225144355
2004-07-31,0.02249999988672859
2004-08-31,0.003133333268408991
2004-09-30,-0.010866666689427077
2004-10-31,-0.0012666666378717808
2004-11-30,0.0029000000217621483
2004-12-31,-0.0030333332948702506
2005-01-31,0.011499999912240783
2005-02-28,0.008399999975024143
2005-03-31,0.012833333364240663
2005-04-30,0.000566666730556573
2005-05-31,-0.004400000034780563
2005-06-30,0.01050000002956245
2005-07-31,-0.00916666666383369
2005-08-31,-0.0007999999863504148
2005-09-30,0.0014333333343290197
2005-10-31,-0.005099999998990353
2005-11-30,-0.01023333333497578
2005-12-31,0.001766666667381391
2006-01-31,-6.666666815317965e-05
2006-02-28,0.0037666667334085822
2006-03-31,0.0006666666836239597
2006-04-30,0.01290000002051746
2006-05-31,0.01593333340837682
2006-06-30,0.006799999991366161
2006-07-31,0.016966666707029062
2006-08-31,-0.005399999957015809
2006-09-30,0.004333333295537042
2006-10-31,-0.00040000000203161486
2006-11-30,-0.0018666666926895877
2006-12-31,0.013233333551413021
2007-01-31,-0.0003000000373282765
2007-02-28,-0.004199999985891498
2007-03-31,-0.0033333334469783714
2007-04-30,0.002499999860482463
2007-05-31,-0.0012666668166409461
2007-06-30,-0.001666666751027462
2007-07-31,-0.015266666881908897
2007-08-31,-0.012366666694396452
