iteration_id,pass_number,candidate_name,parent_version,candidate_version,accepted,reason,gross_sharpe_old,gross_sharpe_new,net_sharpe_25_old,net_sharpe_25_new,net_sharpe_50_old,net_sharpe_50_new,ff5_alpha_old,ff5_alpha_new,max_dd_old,max_dd_new,turnover_old,turnover_new,lambda_extreme_share_old,lambda_extreme_share_new,weight_instability_old,weight_instability_new,live_months_old,live_months_new
1,1,candidate_1_validation_36m,baseline,baseline__candidate_1_validation_36m,NO,rejected: net_sharpe_25 worse,0.5364348893593878,0.5363613012346199,0.5358874310804118,0.5358422793734904,0.5353398353906638,0.5353231261076654,-0.017258898905179485,-0.017250982865226236,-0.24672708856622105,-0.24676039939458072,0.001340791323977508,0.0012656949052007914,1.0,1.0,0.001340791323977508,0.0012656949052007914,295,295
2,1,candidate_2_validation_48m,baseline,baseline__candidate_2_validation_48m,YES,accepted: net_sharpe_25 improved,0.5364348893593878,0.538348378812683,0.5358874310804118,0.5378307109097296,0.5353398353906638,0.5373129273433115,-0.017258898905179485,-0.01709378831918255,-0.24672708856622105,-0.24722921623182792,0.001340791323977508,0.001298115811002335,1.0,1.0,0.001340791323977508,0.001298115811002335,295,295
3,1,candidate_3_lambda_smoothing,baseline__candidate_2_validation_48m,baseline__candidate_2_validation_48m__candidate_3_lambda_smoothing,NO,rejected: net_sharpe_25 worse,0.538348378812683,0.5363695566688228,0.5378307109097296,0.5358652466490066,0.5373129273433115,0.5353608100794967,-0.01709378831918255,-0.01726316073711185,-0.24722921623182792,-0.24666877510965568,0.001298115811002335,0.0012242273257410975,1.0,1.0,0.001298115811002335,0.0012242273257410975,295,295
4,1,candidate_4_z_clip_3,baseline__candidate_2_validation_48m,baseline__candidate_2_validation_48m__candidate_4_z_clip_3,YES,accepted: net_sharpe_25 improved,0.538348378812683,0.539303232672706,0.5378307109097296,0.5389745713730205,0.5373129273433115,0.5386458763178006,-0.01709378831918255,-0.01702234147459553,-0.24722921623182792,-0.24715388465118826,0.001298115811002335,0.0008358339313987086,1.0,1.0,0.001298115811002335,0.0008358339313987086,295,295
5,1,candidate_5_factor_cap_60,baseline__candidate_2_validation_48m__candidate_4_z_clip_3,baseline__candidate_2_validation_48m__candidate_4_z_clip_3__candidate_5_factor_cap_60,NO,rejected: net_sharpe_25 worse,0.539303232672706,0.539303232672706,0.5389745713730205,0.5389745713730205,0.5386458763178006,0.5386458763178006,-0.01702234147459553,-0.01702234147459553,-0.24715388465118826,-0.24715388465118826,0.0008358339313987086,0.0008358339313987086,1.0,1.0,0.0008358339313987086,0.0008358339313987086,295,295
6,1,candidate_6_gamma_050,baseline__candidate_2_validation_48m__candidate_4_z_clip_3,baseline__candidate_2_validation_48m__candidate_4_z_clip_3__candidate_6_gamma_050,YES,accepted: net_sharpe_25 improved,0.539303232672706,0.5392462077527115,0.5389745713730205,0.5391272701353739,0.5386458763178006,0.5390083260061818,-0.01702234147459553,-0.017026097830046362,-0.24715388465118826,-0.24700183801229014,0.0008358339313987086,0.0002989351472015581,1.0,0.96,0.0008358339313987086,0.0002989351472015581,295,295
7,1,candidate_7_gamma_025,baseline__candidate_2_validation_48m__candidate_4_z_clip_3__candidate_6_gamma_050,baseline__candidate_2_validation_48m__candidate_4_z_clip_3__candidate_6_gamma_050__candidate_7_gamma_025,YES,accepted: net_sharpe_25 improved,0.5392462077527115,0.5396068940706162,0.5391272701353739,0.539533109320179,0.5390083260061818,0.5394593224525757,-0.017026097830046362,-0.017007494241608877,-0.24700183801229014,-0.24664262807136728,0.0002989351472015581,0.00018216995591530775,0.96,1.0,0.0002989351472015581,0.00018216995591530775,295,295
