strategy,model,alpha,alpha_t,alpha_p,R2,adj_R2,beta_MktRF,beta_SMB,beta_HML,beta_RMW,beta_CMA
strategy_3A_T1,CAPM,0.002604162006554412,1.5215704235402687,0.1281167530928496,0.05602398579971102,0.052802224659095676,-0.11064180162223392,,,,
strategy_3A_T1,FF3,0.0012972570242071823,2.1331762535788417,0.03291027033939847,0.8274342922932271,0.8256552643787243,-0.0820007699947818,-0.10837996023956054,0.5558041506296291,,
strategy_3A_T1,FF5,-0.0014172911868007398,-6.113780174678195,9.729831261736554e-10,0.9945962079238181,0.9945027167114274,0.002220472398826083,0.002983957517397491,0.3266965194025188,0.3284608396948567,0.3385265362855393
equal_weight,CAPM,0.0026046350411604124,1.5211376349953436,0.12822530178807823,0.055852221686972126,0.052629874320715975,-0.1105325885017678,,,,
equal_weight,FF3,0.0012962941683640067,2.132378169095979,0.032975770584525416,0.8280614941085411,0.8262889321921343,-0.08192374128434968,-0.10814142341765381,0.5563951994534996,,
equal_weight,FF5,-0.0014137881777197025,-6.0846068023163635,1.167775376727578e-09,0.9945784799206621,0.994484681995414,0.002184936687282554,0.0029798810500324246,0.3275015039442467,0.32774863088230055,0.33848496627002667
strategy_1A_med,CAPM,0.003108477756149141,2.110104674967095,0.03484934070983002,0.062308041164898964,0.05910772731221936,-0.11840388687058608,,,,
strategy_1A_med,FF3,0.002118011239018573,2.2085898079023307,0.02720318490576591,0.505674272037151,0.5005781305117608,-0.11892995600375118,0.04276833894271916,0.41437877131935447,,
strategy_1A_med,FF5,-0.0007033948444473599,-1.0485177525260652,0.29440012753936284,0.6951819065821865,0.6899082371458921,-0.028076348139174357,0.15093570907113235,0.15545381900202712,0.31946207913155705,0.4176185858028948
