series,n_months,mean_ann,vol_ann,sharpe,t_stat,p_val,max_dd,sample_ok,oos_months,min_required_oos_months
screened_gbt,11,-0.011048075313957694,0.13137913418976563,-0.0840930744603608,-0.08051298906292162,0.937417810745329,-0.08236678773598305,False,11,60
static_basket,11,-0.07361432726942742,0.0958604416559581,-0.7679322773582485,-0.735239179263846,0.47908237327780867,-0.0734510554824459,False,11,60
cyclical_only,11,-0.12363951274018908,0.14147148573263635,-0.8739535893038721,-0.8367468573204768,0.4222800927497097,-0.1311750205513782,False,11,60
defensive_only,11,-0.023589141798665746,0.09929951261766534,-0.23755546403829222,-0.2274420408658969,0.8246626394710992,-0.05720684128828246,False,11,60
