date,screened_gbt,p_good,pred_class,switch,cyclical,defensive,static_basket
2023-11-30,-0.05773737030831497,0.4526629419075641,0,1.0,-0.02377250534666367,-0.05773737030831497,-0.04075493782748932
2023-12-31,0.024654223444168052,0.3869143217381243,0,0.0,0.04324278505399198,0.024654223444168052,0.03394850424908002
2024-01-31,0.03855584317548402,0.4024396473083151,0,0.0,-0.06549113659918504,0.03855584317548402,-0.013467646711850509
2024-02-29,-0.007509266825248693,0.6756729889171672,1,1.0,-0.007509266825248693,-0.008079157874673004,-0.0077942123499608485
2024-03-31,0.037960112524769885,0.7342697740209347,1,0.0,0.037960112524769885,0.03199278464804266,0.03497644858640627
2024-04-30,-0.019831361454328348,0.6856775503196062,1,0.0,-0.019831361454328348,-0.023177417968051613,-0.02150438971118998
2024-05-31,-0.014162241048448071,0.5710898607449502,1,0.0,-0.014162241048448071,-0.030087932363514806,-0.02212508670598144
2024-06-30,-0.05035153009843205,0.5917380741791866,1,0.0,-0.05035153009843205,-0.004896236870509302,-0.027623883484470677
2024-07-31,0.06000104714581812,0.5602242795548391,1,0.0,0.06000104714581812,0.012230387921494848,0.036115717533656486
2024-08-31,0.0050031112238160536,0.45776138204870737,0,1.0,-0.046712153213702215,0.0050031112238160536,-0.02085452099494308
2024-09-30,-0.026709970150411905,0.6959137100638753,1,1.0,-0.026709970150411905,-0.010081615010052208,-0.018395792580232058
