series,n_months,mean_annual,vol_annual,sharpe_annual,max_drawdown,avg_monthly_turnover,ff5_alpha,ff5_alpha_t,ff5_alpha_p,ff5_r_squared
strategy_gross,357,0.035773109243697476,0.06549340430140323,0.5462093416165728,-0.1687013244224359,0.08403361344537816,-0.0012099780637039009,-2.1928362427274983,0.0283191796750951,0.8252010873350175
benchmark_equal_sleeves,357,0.023126890756302518,0.058683097419251824,0.3940979902794874,-0.24025479886890266,,-0.0019272944634292067,-7.856908964803885,3.937287923692523e-15,0.9889307823220221
benchmark_cyclical_only,357,0.01243361344537815,0.0812820285426439,0.15296878865240135,-0.3923499286192532,,-0.0019272944634291726,-7.856908964803748,3.937287923696829e-15,0.994218776272
benchmark_defensive_only,357,0.03382016806722689,0.06886809016092554,0.49108619083524124,-0.2762927767997121,,-0.00192729446342924,-7.856908964804024,3.9372879236881465e-15,0.991898799813884
benchmark_all_factor_equal,357,0.02312689075630251,0.058683097419251824,0.39409799027948733,-0.24025479886890266,,-0.0019272944634292069,-7.8569089648038855,3.93728792369248e-15,0.9889307823220221
