signal_date,date,p_cyclical,w_cyclical,w_defensive,cyclical_next,defensive_next,strategy_gross,converged,used_fallback,mean_gap_fit,warning_count,turnover,strategy_0bps,strategy_25bps,strategy_50bps,strategy_75bps
1994-12-31,1995-01-31,0.06117339105420015,0.0,1.0,-0.0023999999999999994,-0.0025000000000000005,-0.0025000000000000005,True,False,0.023640458111914064,0,0.0,-0.0025000000000000005,-0.0025000000000000005,-0.0025000000000000005,-0.0025000000000000005
1995-01-31,1995-02-28,0.09508555928263086,0.0,1.0,0.0024999999999999996,0.0010499999999999997,0.0010499999999999997,True,False,0.023523599929225432,0,0.0,0.0010499999999999997,0.0010499999999999997,0.0010499999999999997,0.0010499999999999997
1995-02-28,1995-03-31,0.12222591707060321,0.0,1.0,-0.0133,0.0005,0.0005,True,False,0.02334623080562619,0,0.0,0.0005,0.0005,0.0005,0.0005
1995-03-31,1995-04-30,0.02218344436953648,0.0,1.0,0.00705,0.0062499999999999995,0.0062499999999999995,True,False,0.02374741587338134,0,0.0,0.0062499999999999995,0.0062499999999999995,0.0062499999999999995,0.0062499999999999995
1995-04-30,1995-05-31,0.07187074933011796,0.0,1.0,0.0005499999999999984,0.0021,0.0021,True,False,0.02363548529350775,0,0.0,0.0021,0.0021,0.0021,0.0021
1995-05-31,1995-06-30,0.07273273086535545,0.0,1.0,0.00255,-0.0131,-0.0131,False,False,0.023474979762976134,18,0.0,-0.0131,-0.0131,-0.0131,-0.0131
1995-06-30,1995-07-31,0.39489074741678365,0.0,1.0,0.0026999999999999993,-0.0068000000000000005,-0.0068000000000000005,True,False,0.02288444872811374,0,0.0,-0.0068000000000000005,-0.0068000000000000005,-0.0068000000000000005,-0.0068000000000000005
1995-07-31,1995-08-31,0.531401563767868,0.5,0.5,0.021900000000000003,0.0016000000000000007,0.011750000000000002,True,False,0.022208858419577367,0,1.0,0.011750000000000002,0.009250000000000001,0.006750000000000002,0.004250000000000002
1995-08-31,1995-09-30,0.8824624190327345,1.0,0.0,-0.009850000000000001,0.00695,-0.009850000000000001,True,False,0.022264580850248947,0,1.0,-0.009850000000000001,-0.012350000000000002,-0.014850000000000002,-0.01735
1995-09-30,1995-10-31,0.14466598890207177,0.0,1.0,-0.0228,0.009149999999999998,0.009149999999999998,True,False,0.021973879621689386,0,2.0,0.009149999999999998,0.004149999999999998,-0.0008500000000000018,-0.005850000000000001
1995-10-31,1995-11-30,0.0050383504152449,0.0,1.0,-0.0027,0.0021500000000000004,0.0021500000000000004,True,False,0.02247553425344858,0,0.0,0.0021500000000000004,0.0021500000000000004,0.0021500000000000004,0.0021500000000000004
1995-11-30,1995-12-31,0.04863811989320909,0.0,1.0,0.00445,0.0079,0.0079,True,False,0.022532265639054527,0,0.0,0.0079,0.0079,0.0079,0.0079
1995-12-31,1996-01-31,0.06580610025235824,0.0,1.0,-0.0109,0.012799999999999999,0.012799999999999999,True,False,0.02255991382831775,0,0.0,0.012799999999999999,0.012799999999999999,0.012799999999999999,0.012799999999999999
1996-01-31,1996-02-29,0.007097307285713387,0.0,1.0,0.0036,-0.00865,-0.00865,True,False,0.022887950620655847,0,0.0,-0.00865,-0.00865,-0.00865,-0.00865
1996-02-29,1996-03-31,0.2585529560910117,0.0,1.0,0.0099,0.00245,0.00245,True,False,0.022428499040472137,0,0.0,0.00245,0.00245,0.00245,0.00245
1996-03-31,1996-04-30,0.370812210425444,0.0,1.0,0.0036500000000000005,-0.01115,-0.01115,True,False,0.021972354891342655,0,0.0,-0.01115,-0.01115,-0.01115,-0.01115
1996-04-30,1996-05-31,0.7061795754283077,1.0,0.0,0.01165,-0.0015,0.01165,True,False,0.02162360522535283,0,2.0,0.01165,0.0066500000000000005,0.0016500000000000004,-0.003349999999999999
1996-05-31,1996-06-30,0.8345647674436683,1.0,0.0,-0.006699999999999998,0.0235,-0.006699999999999998,True,False,0.021608638374336096,0,0.0,-0.006699999999999998,-0.006699999999999998,-0.006699999999999998,-0.006699999999999998
1996-06-30,1996-07-31,0.04041293371141892,0.0,1.0,0.007050000000000001,0.0279,0.0279,True,False,0.02150913850972027,0,2.0,0.0279,0.0229,0.0179,0.012900000000000002
1996-07-31,1996-08-31,0.014320279499797582,0.0,1.0,0.0088,-0.014250000000000002,-0.014250000000000002,True,False,0.021925795010707246,0,0.0,-0.014250000000000002,-0.014250000000000002,-0.014250000000000002,-0.014250000000000002
1996-08-31,1996-09-30,0.6339995882513656,1.0,0.0,-0.02075,-0.004149999999999999,-0.02075,True,False,0.021602487035617658,0,2.0,-0.02075,-0.025750000000000002,-0.03075,-0.035750000000000004
1996-09-30,1996-10-31,0.10452900127750778,0.0,1.0,0.0054499999999999965,0.02175,0.02175,True,False,0.02129892851459432,0,2.0,0.02175,0.016749999999999998,0.011749999999999998,0.006749999999999999
1996-10-31,1996-11-30,0.030340481678128667,0.0,1.0,-0.0121,0.00685,0.00685,True,False,0.021730448320114226,0,0.0,0.00685,0.00685,0.00685,0.00685
1996-11-30,1996-12-31,0.01665705237659993,0.0,1.0,0.02235,0.0086,0.0086,True,False,0.022096886018365583,0,0.0,0.0086,0.0086,0.0086,0.0086
1996-12-31,1997-01-31,0.3569395711977061,0.0,1.0,-0.016300000000000002,0.00575,0.00575,True,False,0.021552479863657124,0,0.0,0.00575,0.00575,0.00575,0.00575
1997-01-31,1997-02-28,0.032567783455960925,0.0,1.0,0.015350000000000003,0.02095,0.02095,True,False,0.021745696752409425,0,0.0,0.02095,0.02095,0.02095,0.02095
1997-02-28,1997-03-31,0.0614262354857096,0.0,1.0,0.0149,0.009600000000000001,0.009600000000000001,True,False,0.021830099208240136,0,0.0,0.009600000000000001,0.009600000000000001,0.009600000000000001,0.009600000000000001
1997-03-31,1997-04-30,0.18443457573502925,0.0,1.0,-0.0285,0.011699999999999999,0.011699999999999999,True,False,0.021508480966832628,0,0.0,0.011699999999999999,0.011699999999999999,0.011699999999999999,0.011699999999999999
1997-04-30,1997-05-31,0.004214844050665656,0.0,1.0,0.002849999999999995,-0.019,-0.019,True,False,0.021574383548180028,0,0.0,-0.019,-0.019,-0.019,-0.019
1997-05-31,1997-06-30,0.4491857619929913,0.5,0.5,0.013049999999999999,0.005050000000000001,0.009049999999999999,True,False,0.021227490011576512,0,1.0,0.009049999999999999,0.0065499999999999985,0.004049999999999999,0.0015499999999999993
1997-06-30,1997-07-31,0.5092462919358771,0.5,0.5,-0.01305,-0.0119,-0.012475,True,False,0.02091453151058253,0,0.0,-0.012475,-0.012475,-0.012475,-0.012475
1997-07-31,1997-08-31,0.3116404312739024,0.0,1.0,0.04315,-0.00595,-0.00595,True,False,0.02049650380803267,0,1.0,-0.00595,-0.008450000000000001,-0.010950000000000001,-0.01345
1997-08-31,1997-09-30,0.9641622077087038,1.0,0.0,0.0136,-0.012550000000000002,0.0136,True,False,0.022098721195864916,0,2.0,0.0136,0.0086,0.003599999999999999,-0.0014000000000000002
1997-09-30,1997-10-31,0.9498450000710859,1.0,0.0,0.00885,0.013799999999999998,0.00885,True,False,0.023056297674344063,0,0.0,0.00885,0.00885,0.00885,0.00885
1997-10-31,1997-11-30,0.4580423216265187,0.5,0.5,-0.01895,0.024050000000000002,0.00255,True,False,0.022266001834964924,0,1.0,0.00255,5.000000000000013e-05,-0.00245,-0.0049499999999999995
1997-11-30,1997-12-31,0.007605371341488547,0.0,1.0,0.008250000000000002,0.01295,0.01295,True,False,0.02266313082521642,0,1.0,0.01295,0.01045,0.007949999999999999,0.00545
1997-12-31,1998-01-31,0.06148643322859191,0.0,1.0,-0.0148,0.0014500000000000003,0.0014500000000000003,True,False,0.022726404090534957,0,0.0,0.0014500000000000003,0.0014500000000000003,0.0014500000000000003,0.0014500000000000003
1998-01-31,1998-02-28,0.02657910193163103,0.0,1.0,-0.0044,-0.01475,-0.01475,True,False,0.02297398064897012,0,0.0,-0.01475,-0.01475,-0.01475,-0.01475
1998-02-28,1998-03-31,0.21826999656716503,0.0,1.0,0.00325,-0.0039000000000000003,-0.0039000000000000003,True,False,0.022646248031107062,0,0.0,-0.0039000000000000003,-0.0039000000000000003,-0.0039000000000000003,-0.0039000000000000003
1998-03-31,1998-04-30,0.2947894106034036,0.0,1.0,0.0052,-0.010199999999999999,-0.010199999999999999,True,False,0.02228607971358966,0,0.0,-0.010199999999999999,-0.010199999999999999,-0.010199999999999999,-0.010199999999999999
1998-04-30,1998-05-31,0.5809793712479019,0.5,0.5,0.0020499999999999997,0.0175,0.009775,True,False,0.021781506528769277,0,1.0,0.009775,0.007275,0.004775000000000001,0.002275000000000001
1998-05-31,1998-06-30,0.09936293609465115,0.0,1.0,-0.0282,-0.01645,-0.01645,True,False,0.02197627836870229,0,1.0,-0.01645,-0.018949999999999998,-0.02145,-0.02395
1998-06-30,1998-07-31,0.044032813789110954,0.0,1.0,-0.03515,0.011999999999999999,0.011999999999999999,True,False,0.022303794816416977,0,0.0,0.011999999999999999,0.011999999999999999,0.011999999999999999,0.011999999999999999
1998-07-31,1998-08-31,0.0025426267850397937,0.0,1.0,-0.006999999999999999,0.04565,0.04565,True,False,0.021969792382588955,0,0.0,0.04565,0.04565,0.04565,0.04565
1998-08-31,1998-09-30,0.002869892364860011,0.0,1.0,-0.022,-0.023399999999999997,-0.023399999999999997,True,False,0.021034046109351275,0,0.0,-0.023399999999999997,-0.023399999999999997,-0.023399999999999997,-0.023399999999999997
1998-09-30,1998-10-31,0.13370870353439365,0.0,1.0,-0.02845,0.0053,0.0053,True,False,0.02101174585280714,0,0.0,0.0053,0.0053,0.0053,0.0053
