model,converged,llf,aic,bic,cyclical_mean,defensive_mean,mean_gap,expected_duration_cyclical,expected_duration_defensive,avg_abs_filtered_smoothed_gap,warning_count
baseline_2state,True,937.7856849591959,-1865.5713699183918,-1845.4059388093979,0.14343505663682996,-0.002022512984242867,0.1454575696210728,1.0,413.77483297481405,3.137101237785097e-08,0.0
ar1_2state,False,,,,,,,,,,
switching_variance_2state,True,959.002159120605,-1906.00431824121,-1881.8058009104172,-0.0011184318270220143,-0.0030115926929369197,0.0018931608659149054,79.91028803301292,36.08614125087796,0.11051526780132911,0.0
three_state_diagnostic,True,942.0531092714948,-1864.1062185429896,-1823.7753563250017,0.1432629489512878,-0.0031061060570269513,0.14636905500831476,1.0,106.98182434616841,1.3036009563069554e-05,0.0
