strategy,cost_bps,sharpe,ff5_alpha,breakeven_bps
strategy_3A_T1,0,-0.2975084827036381,-0.002055557780473967,0.0
strategy_3A_T1,25,-0.29907879870498083,-0.002065252357708713,0.0
strategy_3A_T1,50,-0.3006494023388783,-0.0020749469349434562,0.0
strategy_3A_T1,75,-0.30222029299786113,-0.0020846415121782017,0.0
