strategy,model,DW,BP_p,JB_p,max_VIF,adj_R2
strategy_3A_T1,CAPM,2.472040301273826,0.14438455974783307,0.6946609482974058,,-0.0664661094147263
strategy_3A_T1,FF3,2.0864989779290757,0.06310428104135624,0.593892673790196,2.155276880582963,0.1411500667227843
strategy_3A_T1,FF5,1.8656046528209949,0.1596293984829997,0.6254100813297097,2.785578960794422,0.1308801874949086
equal_weight,CAPM,2.5687518261943545,0.15427852260866987,0.6044011787294408,,-0.06842254697418682
equal_weight,FF3,2.0982161214806023,0.03950361743293127,0.6119428956299755,2.155276880582963,0.2550682734964552
equal_weight,FF5,1.909307479008442,0.18790322919323157,0.6163951021742359,2.785578960794422,0.23268909075910782
strategy_1A_med,CAPM,2.3803288234312925,0.17123761627090744,0.7016721606079368,,-0.07489250035478534
strategy_1A_med,FF3,2.1044524385367787,0.17921917258511535,0.6286919808494448,2.155276880582963,-0.1005886762916195
strategy_1A_med,FF5,1.713732453010593,0.22862140477181167,0.8377406731901125,2.785578960794422,0.1414180468921985
