date,ret
1990-07-31,-0.0002482300588334419
1990-08-31,0.023048445516346133
1990-09-28,0.04002014735062462
1990-10-31,0.03235156404287236
1990-11-30,0.03604685671257845
1990-12-31,0.018299528020171155
1991-01-31,0.005364248481494263
1991-02-28,-0.020324059390857088
1991-03-28,0.02041111590038741
1991-04-30,-0.0064526178127666456
1991-05-31,-0.0410390427684776
1991-06-28,0.006743653072735806
1991-07-31,0.03227211107358834
1991-08-30,0.022868481412144526
1991-09-30,-0.001155019162369977
1991-10-31,0.027771965506302346
1991-11-29,0.0349448807379463
1991-12-31,0.03938480969200994
1992-01-31,-0.03849768357314599
1992-02-28,-0.04694939157991686
1992-03-31,-0.01608382281425939
1992-04-30,-0.04020443733048534
1992-05-29,0.0036657675906608326
1992-06-30,-0.03873604248068972
1992-07-31,0.02881290622487888
1992-08-31,0.032777591825068605
1992-09-30,-0.020801386152247997
1992-10-30,0.04078658415500482
1992-11-30,-0.018932965331448164
1992-12-31,-0.023720547435278096
1993-01-29,-0.06643831752250678
1993-02-26,-0.03394495773393647
1993-03-31,-0.02953056592435207
1993-04-30,-0.03580501003620271
1993-05-28,0.017634586295492596
1993-06-30,-0.04951912743875826
1993-07-30,-0.051678817178954714
1993-08-31,0.00795502606437326
1993-09-30,0.011760412778506413
1993-10-29,-0.009619713370795424
1993-11-30,0.008340356985550194
1993-12-31,-0.015352001435538637
1994-01-31,-0.024371234168734004
1994-02-28,0.03076527757490969
1994-03-31,0.014262129020290434
1994-04-29,0.011247144564015285
1994-05-31,0.026237864393908267
1994-06-30,0.00030938401412465566
1994-07-29,-0.02150694247392911
1994-08-31,0.04837738513575858
1994-09-30,0.020360376409605252
1994-10-31,0.025348231780755508
1994-11-30,0.03910163294064076
1994-12-30,-0.008236217444499452
1995-01-31,0.020490107971215896
1995-02-28,-0.009689474573916654
1995-03-31,0.019339775171895425
1995-04-28,0.024059043018067744
1995-05-31,-0.0033096159100338383
1995-06-30,0.020811218581774028
1995-07-31,0.006914523135045307
1995-08-31,0.0008802547789722526
1995-09-29,0.013321181319346058
1995-10-31,0.05626602261973717
1995-11-30,-0.019928714650614604
1995-12-29,-0.03434916454739991
1996-01-31,-0.013707907478259253
1996-02-29,0.024056248430361124
1996-03-29,-0.03671110041609886
1996-04-30,0.0224887559333194
1996-05-31,0.013583775077491644
1996-06-28,0.00023303188507662123
1996-07-31,0.01034502768467084
1996-08-30,0.006660268692183183
1996-09-30,0.03272819710302487
1996-10-31,-0.007228664000661597
1996-11-29,0.030878325416712787
1996-12-31,-0.004749567794956068
1997-01-31,0.04863875224631758
1997-02-28,-0.013087753459521134
1997-03-31,-0.012883142229677118
1997-04-30,0.01931506850573922
1997-05-30,-0.005380672271006859
1997-06-30,-0.01773944995564463
1997-07-31,0.013678068894232176
1997-08-29,-0.00037972156457998646
1997-09-30,-0.031469485222507504
1997-10-31,0.009057676515425647
1997-11-28,0.008025296368861512
