strategy,n_months,mean_ann,vol_ann,sharpe,t_stat,p_val,max_dd,turnover,annual_switches,sample_ok,min_train_months,min_required_oos_months
strategy_4_S1,293,0.06390921501706484,0.07702080254991917,0.8297656334552425,4.100139478255286,5.3575779171755045e-05,-0.13147465746683773,0.3924914675767918,4.709897610921502,True,120,60
static_basket,293,0.032189078498293514,0.0598534050700001,0.5377986174829578,2.6574363338125986,0.008307254895328908,-0.24025479886890255,,,True,120,60
good_only,293,0.02208941979522184,0.08416036310067723,0.2624682092780097,1.2969400313272743,0.1956756788004297,-0.3923499286192528,,,True,120,60
bad_only,293,0.04228873720136519,0.06503555545993248,0.6502402709148644,3.213046790125053,0.0014602931199187985,-0.10176403893398978,,,True,120,60
mkt_rf,293,0.07357269624573377,0.15849861855480438,0.464185094586767,2.2936881871181125,0.022518574113941314,-0.5309060107440096,,,True,120,60
