strategy,cost_bps,sharpe,ff5_alpha,breakeven_bps,sample_ok
strategy_4_S1,0,0.8297656334552425,0.0022364757248439413,54.05,True
strategy_4_S1,25,0.6728745358264623,0.0012020131471094176,54.05,True
strategy_4_S1,50,0.516327956650592,0.0001675505693748932,54.05,True
strategy_4_S1,75,0.3614932284258,-0.0008669120083596303,54.05,True
