feature,importance,agreement_rate,oos_accuracy,majority_accuracy,oos_balanced_accuracy,majority_balanced_accuracy,brier_score,majority_brier_score,confusion_tn,confusion_fp,confusion_fn,confusion_tp,sample_ok
z_spread_3m,0.2755182175955173,0.5494880546075085,0.5938566552901023,0.5221843003412969,0.5904761904761904,0.5,0.25028594266001125,0.250790507653669,102.0,51.0,68.0,72.0,True
z_mkt_rf_3m,0.23548772437374665,0.5494880546075085,0.5938566552901023,0.5221843003412969,0.5904761904761904,0.5,0.25028594266001125,0.250790507653669,102.0,51.0,68.0,72.0,True
z_TERM,0.18800335030262097,0.5494880546075085,0.5938566552901023,0.5221843003412969,0.5904761904761904,0.5,0.25028594266001125,0.250790507653669,102.0,51.0,68.0,72.0,True
z_dDEF,0.18059098864918405,0.5494880546075085,0.5938566552901023,0.5221843003412969,0.5904761904761904,0.5,0.25028594266001125,0.250790507653669,102.0,51.0,68.0,72.0,True
z_dTERM,0.12039971907893103,0.5494880546075085,0.5938566552901023,0.5221843003412969,0.5904761904761904,0.5,0.25028594266001125,0.250790507653669,102.0,51.0,68.0,72.0,True
