rebalance_date,selected_lambda,validation_score,n_validation_folds,validation_metric,validation_aggregation
2023-07-31,1,0.6613706966714533,2,gross_sharpe,median3
2024-07-31,1,0.8932884271853997,3,gross_sharpe,median3
