rebalance_date,selected_lambda,validation_score,n_validation_folds,validation_metric,validation_aggregation
2023-07-31,100000,1.2846660966217907,1,gross_sharpe,single
2024-07-31,1,0.4679611163997815,1,gross_sharpe,single
