series,n_months,mean_annual,vol_annual,sharpe_annual,t_stat,p_value,max_drawdown,turnover_mean_monthly,ff5_alpha,ff5_alpha_t,ff5_alpha_p,ff5_r_squared
Cash,391,0.0238,0.0061,3.9302,22.4341,0.0,0.0,0.0,0.0,,,
FF_Direct_Main,391,0.0311,0.0332,0.9373,5.3501,0.0,-0.1076,0.0,-0.0003,-0.6271,0.5306,0.2961
FF_Static_RMW_CMA,391,0.0342,0.0662,0.5168,2.9499,0.0034,-0.2763,0.0,-0.002,-8.8586,0.0,0.9918
Self_Built_Main,285,-0.0024,0.1009,-0.0237,-0.1156,0.908,-0.3922,0.0,-0.0009,-0.4724,0.6366,0.039
Self_Static_Prof_Inv,285,-0.0379,0.2433,-0.1559,-0.7599,0.448,-0.8718,0.0,-0.0055,-1.4072,0.1594,0.0263
