series,n_months,mean_annual,vol_annual,sharpe_annual,t_stat,p_value,max_drawdown,turnover_mean_monthly,period,model,alpha,alpha_t,alpha_p,r_squared
FF_Direct_Main,190,0.03335368421052632,0.03297442004964899,1.0115017689562475,4.024878957127235,8.242250192225242e-05,-0.10755181999999996,0.0,pre_2008,CAPM,-0.00027276684061780336,-0.4199691419614178,0.674507996421865,0.005864276003573421
FF_Direct_Main,190,0.03335368421052632,0.03297442004964899,1.0115017689562475,4.024878957127235,8.242250192225242e-05,-0.10755181999999996,0.0,pre_2008,FF3,-0.0007316560847101492,-1.1197128573038253,0.2628361442603213,0.25093324505474657
FF_Direct_Main,190,0.03335368421052632,0.03297442004964899,1.0115017689562475,4.024878957127235,8.242250192225242e-05,-0.10755181999999996,0.0,pre_2008,FF5,-0.0011378188515090092,-1.6007216955519963,0.1094385736674148,0.3242129259390063
Self_Built_Main,84,-0.02842120763038497,0.11256164516304733,-0.2524946005294823,-0.6680379203876078,0.5059628353205206,-0.3921929525313198,0.0,pre_2008,CAPM,-0.004471645554402459,-1.3874508984980882,0.1653043137307454,0.027189112744367416
Self_Built_Main,84,-0.02842120763038497,0.11256164516304733,-0.2524946005294823,-0.6680379203876078,0.5059628353205206,-0.3921929525313198,0.0,pre_2008,FF3,-0.003694161129312859,-1.1490571568389814,0.25053241302583296,0.03518570079790384
Self_Built_Main,84,-0.02842120763038497,0.11256164516304733,-0.2524946005294823,-0.6680379203876078,0.5059628353205206,-0.3921929525313198,0.0,pre_2008,FF5,-0.0032575450096707197,-1.0835369841216287,0.2785701441345225,0.04418645488836348
FF_Static_RMW_CMA,190,0.042982105263157884,0.07898906689677412,0.5441525891086738,2.165244167224525,0.03162210104152097,-0.2762927767997121,0.0,pre_2008,CAPM,0.002512097578874616,1.5021949930052754,0.13304675755618472,0.3739150018449001
FF_Static_RMW_CMA,190,0.042982105263157884,0.07898906689677412,0.5441525891086738,2.165244167224525,0.03162210104152097,-0.2762927767997121,0.0,pre_2008,FF3,-0.00031864385084688293,-0.3137970252706372,0.7536752038479151,0.7429441282227126
FF_Static_RMW_CMA,190,0.042982105263157884,0.07898906689677412,0.5441525891086738,2.165244167224525,0.03162210104152097,-0.2762927767997121,0.0,pre_2008,FF5,-0.003160244328913328,-13.83538386829607,1.5590197470451275e-43,0.9968038049671019
Self_Static_Prof_Inv,84,-0.0918367770742188,0.24164400381388532,-0.38004989002314193,-1.0055174947986811,0.3175702012302879,-0.7204706308693943,0.0,pre_2008,CAPM,-0.009107543158855771,-1.4444708378894446,0.14860657707597627,0.07386161960047699
Self_Static_Prof_Inv,84,-0.0918367770742188,0.24164400381388532,-0.38004989002314193,-1.0055174947986811,0.3175702012302879,-0.7204706308693943,0.0,pre_2008,FF3,-0.0070015240529734965,-0.9523884487747535,0.3409000155049765,0.10041657761868561
Self_Static_Prof_Inv,84,-0.0918367770742188,0.24164400381388532,-0.38004989002314193,-1.0055174947986811,0.3175702012302879,-0.7204706308693943,0.0,pre_2008,FF5,-0.01018283187925832,-1.2259999418875078,0.22019869689975535,0.13189096859067007
Cash,190,0.03793894736842105,0.0045129058411583585,8.406766882307252,33.45146806514006,0.0,0.0,0.0,pre_2008,CAPM,0.0,,,
Cash,190,0.03793894736842105,0.0045129058411583585,8.406766882307252,33.45146806514006,0.0,0.0,0.0,pre_2008,FF3,0.0,,,
Cash,190,0.03793894736842105,0.0045129058411583585,8.406766882307252,33.45146806514006,0.0,0.0,0.0,pre_2008,FF5,0.0,,,
FF_Direct_Main,201,0.02902686567164179,0.033507393058133286,0.866282423740992,3.545413619196356,0.0004881301764116941,-0.08013361213964265,0.0,post_2007,CAPM,0.0016673882719306732,1.5953880115852812,0.1106254951987972,0.004203351606934191
FF_Direct_Main,201,0.02902686567164179,0.033507393058133286,0.866282423740992,3.545413619196356,0.0004881301764116941,-0.08013361213964265,0.0,post_2007,FF3,0.0017819516340070556,1.9877099274002095,0.04684378035026608,0.1828474933102342
FF_Direct_Main,201,0.02902686567164179,0.033507393058133286,0.866282423740992,3.545413619196356,0.0004881301764116941,-0.08013361213964265,0.0,post_2007,FF5,0.0005616863653211964,0.9247406572073851,0.35510082539362053,0.43615083940275634
Self_Built_Main,201,0.008484178806135395,0.09566834960491036,0.08868323579504843,0.3629517849668089,0.7170241978949097,-0.350707286280589,0.0,post_2007,CAPM,0.0006936403333600743,0.28838608257422826,0.7730512199141638,0.028093336316638684
Self_Built_Main,201,0.008484178806135395,0.09566834960491036,0.08868323579504843,0.3629517849668089,0.7170241978949097,-0.350707286280589,0.0,post_2007,FF3,0.0005721993737134596,0.23501714875663943,0.8141954231652079,0.03344702231936558
Self_Built_Main,201,0.008484178806135395,0.09566834960491036,0.08868323579504843,0.3629517849668089,0.7170241978949097,-0.350707286280589,0.0,post_2007,FF5,0.00025908460056256336,0.11249741079366614,0.9104290225996288,0.043711928856436155
FF_Static_RMW_CMA,201,0.0259044776119403,0.051319135181926975,0.5047722943909441,2.0658696495286653,0.040129666883176984,-0.10176403893399011,0.0,post_2007,CAPM,0.0018627699338925974,1.5432981489653304,0.12275845254508781,0.042860431336445015
FF_Static_RMW_CMA,201,0.0259044776119403,0.051319135181926975,0.5047722943909441,2.0658696495286653,0.040129666883176984,-0.10176403893399011,0.0,post_2007,FF3,0.0020767696246836265,2.2333111809238275,0.025528430705296135,0.3275808790788294
FF_Static_RMW_CMA,201,0.0259044776119403,0.051319135181926975,0.5047722943909441,2.0658696495286653,0.040129666883176984,-0.10176403893399011,0.0,post_2007,FF5,-0.0008830012466475564,-3.799073053208302,0.00014523828065385696,0.9923112812362327
Self_Static_Prof_Inv,201,-0.015414094984523181,0.24432039411627854,-0.06308967796272957,-0.2582056351943844,0.7965137195899281,-0.7634729861952123,0.0,post_2007,CAPM,-0.0019466609389107862,-0.35321622992451734,0.7239263413695238,0.00025011602627655893
Self_Static_Prof_Inv,201,-0.015414094984523181,0.24432039411627854,-0.06308967796272957,-0.2582056351943844,0.7965137195899281,-0.7634729861952123,0.0,post_2007,FF3,-0.0023017591750987528,-0.4207909785665316,0.6739077198364352,0.008540783384853423
Self_Static_Prof_Inv,201,-0.015414094984523181,0.24432039411627854,-0.06308967796272957,-0.2582056351943844,0.7965137195899281,-0.7634729861952123,0.0,post_2007,FF5,-0.002578630040458653,-0.5726012511311008,0.5669147123989978,0.017796759079783064
Cash,201,0.010417910447761193,0.004624648433592369,2.2526924148629153,9.219541051087104,0.0,0.0,0.0,post_2007,CAPM,0.0,,,
Cash,201,0.010417910447761193,0.004624648433592369,2.2526924148629153,9.219541051087104,0.0,0.0,0.0,post_2007,FF3,0.0,,,
Cash,201,0.010417910447761193,0.004624648433592369,2.2526924148629153,9.219541051087104,0.0,0.0,0.0,post_2007,FF5,0.0,,,
