date,FF_Direct_Main,Self_Built_Main
1992-03-31,0.0088,
1992-04-30,0.02025,
1992-05-31,-0.0021000000000000003,
1992-06-30,0.00445,
1992-07-31,0.0013499999999999996,
1992-08-31,0.010100000000000001,
1992-09-30,0.00465,
1992-10-31,0.0013999999999999993,
1992-11-30,-0.010600000000000002,
1992-12-31,0.0028000000000000004,
1993-01-31,0.0052,
1993-02-28,0.0184,
1993-03-31,0.002999999999999999,
1993-04-30,-0.011550000000000001,
1993-05-31,-0.00585,
1993-06-30,0.0025,
1993-07-31,0.0024,
1993-08-31,0.0025,
1993-09-30,0.0026,
1993-10-31,0.0022,
1993-11-30,0.0025,
1993-12-31,0.0023,
1994-01-31,0.0025,
1994-02-28,0.0021,
1994-03-31,0.0027,
1994-04-30,0.01095,
1994-05-31,0.006200000000000001,
1994-06-30,0.0031,
1994-07-31,0.0028000000000000004,
1994-08-31,0.0037,
1994-09-30,0.0037,
1994-10-31,0.0038,
1994-11-30,0.0037,
1994-12-31,0.0044,
1995-01-31,0.0042,
1995-02-28,0.004,
1995-03-31,0.0046,
1995-04-30,0.0044,
1995-05-31,0.0054,
1995-06-30,0.004699999999999999,
1995-07-31,0.0045000000000000005,
1995-08-31,0.004699999999999999,
1995-09-30,0.0043,
1995-10-31,0.004699999999999999,
1995-11-30,0.0042,
1995-12-31,0.0049,
1996-01-31,0.0043,
1996-02-29,0.0039000000000000003,
1996-03-31,0.0039000000000000003,
1996-04-30,0.0046,
1996-05-31,0.0042,
1996-06-30,0.004,
1996-07-31,0.0045000000000000005,
1996-08-31,0.0040999999999999995,
1996-09-30,0.0044,
1996-10-31,0.0042,
1996-11-30,0.0040999999999999995,
1996-12-31,0.0046,
1997-01-31,0.0045000000000000005,
1997-02-28,0.0039000000000000003,
1997-03-31,0.0043,
1997-04-30,0.0043,
1997-05-31,0.0049,
1997-06-30,0.0037,
1997-07-31,0.0043,
1997-08-31,0.0040999999999999995,
1997-09-30,0.0044,
1997-10-31,0.0042,
1997-11-30,0.0039000000000000003,
1997-12-31,0.0048,
1998-01-31,0.0043,
1998-02-28,0.0039000000000000003,
1998-03-31,0.0039000000000000003,
1998-04-30,0.0043,
1998-05-31,0.004,
1998-06-30,0.0040999999999999995,
1998-07-31,0.004,
1998-08-31,0.0043,
1998-09-30,0.0046,
1998-10-31,0.0032,
1998-11-30,0.0031,
1998-12-31,0.0038,
1999-01-31,0.0034999999999999996,
1999-02-28,0.0034999999999999996,
1999-03-31,0.0043,
1999-04-30,0.0037,
1999-05-31,0.0034000000000000002,
1999-06-30,0.004,
1999-07-31,0.0038,
1999-08-31,0.0039000000000000003,
1999-09-30,0.0039000000000000003,
1999-10-31,0.0039000000000000003,
1999-11-30,0.0036,
1999-12-31,0.0044,
2000-01-31,-0.007950000000000006,
2000-02-29,-0.1004,
2000-03-31,0.004699999999999999,
2000-04-30,0.0046,
2000-05-31,0.005,
2000-06-30,0.004,
