series,capm_alpha,ff3_alpha,ff5_alpha,capm_alpha_t,ff3_alpha_t,ff5_alpha_t,capm_alpha_p,ff3_alpha_p,ff5_alpha_p,capm_r_squared,ff3_r_squared,ff5_r_squared
Cash,0.0,0.0,0.0,,,,,,,,,
FF_Direct_Main,0.0007,0.0005,-0.0003,1.1318,0.7917,-0.6271,0.2577,0.4285,0.5306,0.0044,0.1971,0.2961
FF_Static_RMW_CMA,0.0022,0.0013,-0.002,1.9386,1.7063,-8.8586,0.0526,0.0879,0.0,0.1666,0.5563,0.9918
Self_Built_Main,-0.0008,-0.0008,-0.0009,-0.4195,-0.399,-0.4724,0.6748,0.6899,0.6366,0.0253,0.031,0.039
Self_Static_Prof_Inv,-0.0037,-0.0036,-0.0055,-0.8499,-0.825,-1.4072,0.3954,0.4094,0.1594,0.0059,0.0127,0.0263
