series,n_months,mean_annual,vol_annual,sharpe_annual,t_stat,p_value,max_drawdown,turnover_mean_monthly,ff5_alpha,ff5_alpha_t,ff5_alpha_p,ff5_r_squared
FF_Direct_ML,391,0.0329,0.0329,0.9995,5.7055,0.0,-0.0673,0.0,-0.0,-0.0748,0.9403,0.2565
FF_Direct_Main,391,0.0311,0.0332,0.9373,5.3501,0.0,-0.1076,0.0,-0.0003,-0.6271,0.5306,0.2961
FF_Direct_Tercile,391,0.0349,0.0218,1.5984,9.1242,0.0,-0.0361,0.0,0.0005,1.5797,0.1142,0.1127
FF_Direct_VIX,391,0.0344,0.0273,1.2588,7.1854,0.0,-0.1092,0.0,0.0003,0.6774,0.4981,0.1694
Self_Built_ML,273,0.0223,0.135,0.165,0.7871,0.4319,-0.4377,0.0,-0.0,-0.009,0.9928,0.0174
Self_Built_Main,285,-0.0024,0.1009,-0.0237,-0.1156,0.908,-0.3922,0.0,-0.0009,-0.4724,0.6366,0.039
Self_Built_Tercile,285,0.0137,0.0818,0.1675,0.8162,0.4151,-0.3428,0.0,-0.0003,-0.1864,0.8522,0.0296
Self_Built_VIX,285,-0.0225,0.1024,-0.2193,-1.0688,0.2861,-0.5599,0.0,-0.0031,-1.7181,0.0858,0.0302
