strategy_family,version,strategy_label,n_months,mean_ann,vol_ann,sharpe,t_stat,p_val,max_dd,turnover,annual_switches,capm_alpha,capm_alpha_t,capm_alpha_p,capm_r2,ff3_alpha,ff3_alpha_t,ff3_alpha_p,ff3_r2,ff5_alpha,ff5_alpha_t,ff5_alpha_p,ff5_r2,pre_sharpe,pre_ff5_alpha,pre_ff5_alpha_t,post_sharpe,post_ff5_alpha,post_ff5_alpha_t,sharpe_0bps,ff5_alpha_0bps,sharpe_25bps,ff5_alpha_25bps,sharpe_50bps,ff5_alpha_50bps,sharpe_75bps,ff5_alpha_75bps
1A Centerpiece,FF,strategy_1A_med,392,0.0388653061224489,0.0713783350853561,0.5444972354142581,3.112060917282387,0.0019943586059476,-0.189076475902177,0.0714285714285714,0.8571428571428572,0.0023122900752837,1.9181478085838508,0.0550922718472279,0.0922365586559467,0.001393484490191,1.7221720746768046,0.0850383518933777,0.4847956990277421,-0.0008443021750583,-1.3028731195399583,0.192618082335097,0.6670578494726919,0.8312715764246235,-0.0011458012181358,-1.1770888853691654,0.2420728834963841,-0.0001456690704522,-0.1884964702571805,0.5444972354142581,-0.0008443021750583,0.5166896412761608,-0.0010233956486504,0.4881649329762511,-0.0012024891222424,0.4589950930731215,-0.0013815825958345
1A Centerpiece,Self-built,strategy_1A_med,226,-0.0135834003649144,0.2591468892894563,-0.0524158341323648,-0.2274710320240245,0.8202640516130466,-0.8225144205019721,0.0759075907590759,0.9108910891089108,-0.0023940621427878,-0.4912279176781137,0.62326525547289,0.0005686571619812,-0.0023503758956794,-0.4700290380153557,0.638334271477726,0.0079685771305607,-0.0043113166308675,-0.9170338529651536,0.3591249009516003,0.0174131003704837,-0.2237993664491138,-0.0118453639493647,-1.0807206890757164,0.0068466496831982,-0.0012883556981567,-0.2434300234328353,-0.0524158341323648,-0.0043113166308675,-0.0595600207522114,-0.0044651585344583,-0.0666933952644632,-0.0046190004380491,-0.0738145948665029,-0.0047728423416399
4 S1 ML,FF,strategy_4_S1,380,0.0355042105263157,0.0774944539015664,0.4581516320047014,2.578163248084074,0.0103094015425047,-0.3659687889808823,0.4,4.8,0.0014002301615979,0.9018694999253216,0.3671261950717969,0.0111672763594701,0.0006047550054164,0.6323292217022682,0.5271717727170433,0.5014484430952431,-0.0017635980865027,-1.958190979597467,0.0502076071978614,0.6523230808350549,0.4207380718814694,-0.0049073848307986,-4.121626547238663,0.4934732738030867,0.0009037237763059,0.7977400871347083,0.4581516320047014,-0.0017635980865027,0.3015522100190275,-0.0027956451056866,0.1463248698724321,-0.0038276921248704,-0.006234819444055,-0.0048597391440542
4 S1 ML,Self-built,strategy_4_S1,98,0.0753386934187808,0.1371114332507709,0.5494705410962307,1.5702428634395302,0.1196150481431357,-0.1940789585529633,0.3469387755102041,4.163265306122449,0.0043932242241988,0.9194285493843624,0.3578714621602499,0.0011308048454514,0.0067588463611673,1.5462607126896055,0.1220416160997259,0.209557002365557,0.0060187283831702,1.486055159697312,0.1372645314964919,0.3047957987956599,,,,0.5494705410962307,0.0060187283831702,1.486055159697312,0.5494705410962307,0.0060187283831702,0.4729489814090485,0.0051868578158476,0.396265535064938,0.004354987248525,0.3196308523299524,0.0035231166812024
3A T1 Dynamic timing,FF,strategy_3A_T1,295,0.040127502011182,0.0748040494888436,0.5364348893593878,2.6597290777445024,0.0082493031050916,-0.246727088566221,0.000848087585942,0.010177051031304,0.0025909566643825,1.5130105065034722,0.1302769901047073,0.0570167277920219,0.0012854803478216,2.1146752495094896,0.0344576352493415,0.8265685117765692,-0.0014382415754316,-6.219912934470305,4.974308279409482e-10,0.9945672526127266,1.0454641569880363,-0.0025709116426577,-7.0133460231622085,0.2020778455110551,-0.0009126127812989,-3.9422079612738905,0.5364348893593878,-0.0014382415754316,0.5360929996976891,-0.0014402392810864,0.5357510848946367,-0.0014422369867412,0.5354091450032055,-0.001444234692396
3A T1 Dynamic timing,Self-built,strategy_3A_T1,15,-0.0356492721584854,0.1013730774655558,-0.3516641010587669,-0.3931724176068792,0.7001141895426759,-0.0860802682929104,0.0002265379373352,0.0027184552480224,-0.0064117830837369,-1.8856176398862947,0.0593464985693412,0.0081197578485749,-0.009379575377464,-2.7826964094821207,0.0053909224304416,0.3892515736327002,-0.0031674198869424,-0.4235219397588907,0.6719144947241653,0.5157928854998344,,,,-0.3516641010587669,-0.0031674198869424,-0.4235219397588907,-0.3516641010587669,-0.0031674198869424,-0.3517261690230904,-0.003168611360805,-0.3517882334076961,-0.0031698028346675,-0.3518502942118471,-0.0031709943085301
