variant,sharpe,ff5_alpha,ff5_alpha_t
1A-Med (baseline),0.5444972354142581,-0.0008443021750583564,-1.3028731195399585
Tercile classifier,0.46222829886567257,-0.001719838813025338,-4.112051567368544
VIX-augmented signal,0.4455183625589184,-0.0017370065772029566,-2.8834097281362485
