strategy,n_months,mean_ann,vol_ann,sharpe,t_stat,p_val,max_dd,turnover,annual_switches
strategy_1A_med,392,0.038865306122448984,0.07137833508535617,0.5444972354142581,3.112060917282387,0.001994358605947655,-0.18907647590217702,0.07142857142857142,0.8571428571428572
static_basket,392,0.02539438775510204,0.05656309732160345,0.44895681031602597,2.5660019042507702,0.010659558505070388,-0.24025479886890277,,
good_only,392,0.01631785714285714,0.07868401528588224,0.20738465218849786,1.185302016141559,0.23661793451105662,-0.39234992861925244,,
bad_only,392,0.034470918367346934,0.06611706722895132,0.5213618784387462,2.979831338199051,0.0030641470592807085,-0.276292776799712,,
mkt_rf,392,0.08908163265306121,0.15176584172172206,0.5869676051110456,3.354799298819531,0.000871887497309265,-0.5410832597676869,,
