series,n_months,mean_annual,vol_annual,sharpe_annual,t_stat,p_value,max_drawdown,turnover_mean_monthly,avg_monthly_turnover,period,model,alpha,alpha_t,alpha_p,r_squared
FF_Direct_Main,190,0.06265894736842106,0.07571779121469899,0.82753268899182,3.292845359721919,0.001183781997669442,-0.18907647590217713,0.0,,pre_2008,CAPM,0.00397202529011638,2.2327338543871615,0.02556650052933742,0.33889874096186334
FF_Direct_Main,190,0.06265894736842106,0.07571779121469899,0.82753268899182,3.292845359721919,0.001183781997669442,-0.18907647590217713,0.0,,pre_2008,FF3,0.0010934457182875089,0.9680817128738838,0.33300356208714255,0.5885002298144297
FF_Direct_Main,190,0.06265894736842106,0.07571779121469899,0.82753268899182,3.292845359721919,0.001183781997669442,-0.18907647590217713,0.0,,pre_2008,FF5,-0.001095464978062892,-1.113290688057703,0.26558360444668516,0.7532115235224257
Self_Built_Main,0,,,,,,,,,pre_2008,,,,,
FF_Bad_Basket,190,0.042982105263157884,0.07898906689677412,0.5441525891086738,2.165244167224525,0.03162210104152097,-0.2762927767997121,0.0,,pre_2008,CAPM,0.002512097578874616,1.5021949930052754,0.13304675755618472,0.3739150018449001
FF_Bad_Basket,190,0.042982105263157884,0.07898906689677412,0.5441525891086738,2.165244167224525,0.03162210104152097,-0.2762927767997121,0.0,,pre_2008,FF3,-0.00031864385084688293,-0.3137970252706372,0.7536752038479151,0.7429441282227126
FF_Bad_Basket,190,0.042982105263157884,0.07898906689677412,0.5441525891086738,2.165244167224525,0.03162210104152097,-0.2762927767997121,0.0,,pre_2008,FF5,-0.003160244328913328,-13.83538386829607,1.5590197470451275e-43,0.9968038049671019
FF_Good_Basket,190,0.03785052631578947,0.0663903734806026,0.5701207017136051,2.2685741990521007,0.0244246604022329,-0.24010086865202007,0.0,,pre_2008,CAPM,0.0007692130872195609,0.373655325223507,0.7086607668646316,0.07140447668856065
FF_Good_Basket,190,0.03785052631578947,0.0663903734806026,0.5701207017136051,2.2685741990521007,0.0244246604022329,-0.24010086865202007,0.0,,pre_2008,FF3,-0.003168468445346835,-13.771910982960879,3.76130442070666e-43,0.9955654995896129
FF_Good_Basket,190,0.03785052631578947,0.0663903734806026,0.5701207017136051,2.2685741990521007,0.0244246604022329,-0.24010086865202007,0.0,,pre_2008,FF5,-0.003160244328913376,-13.835383868296312,1.5590197470399167e-43,0.9955714011496881
Self_Bad_Basket,84,-0.0918367770742188,0.24164400381388532,-0.38004989002314193,-1.0055174947986811,0.3175702012302879,-0.7204706308693943,0.0,,pre_2008,CAPM,-0.009107543158855771,-1.4444708378894446,0.14860657707597627,0.07386161960047699
Self_Bad_Basket,84,-0.0918367770742188,0.24164400381388532,-0.38004989002314193,-1.0055174947986811,0.3175702012302879,-0.7204706308693943,0.0,,pre_2008,FF3,-0.0070015240529734965,-0.9523884487747535,0.3409000155049765,0.10041657761868561
Self_Bad_Basket,84,-0.0918367770742188,0.24164400381388532,-0.38004989002314193,-1.0055174947986811,0.3175702012302879,-0.7204706308693943,0.0,,pre_2008,FF5,-0.01018283187925832,-1.2259999418875078,0.22019869689975535,0.13189096859067007
Self_Good_Basket,0,,,,,,,,,pre_2008,,,,,
FF_Direct_Main,201,0.016161194029850744,0.06676168679625011,0.24207288349638414,0.9907259739611425,0.3230164963676476,-0.1333427960762138,0.0,,post_2007,CAPM,0.0006959240534991236,0.5551889022384845,0.578765458926074,0.003695476947883747
FF_Direct_Main,201,0.016161194029850744,0.06676168679625011,0.24207288349638414,0.9907259739611425,0.3230164963676476,-0.1333427960762138,0.0,,post_2007,FF3,0.0015563658195785312,1.6806552697208414,0.09282989363499904,0.4023858715519919
FF_Direct_Main,201,0.016161194029850744,0.06676168679625011,0.24207288349638414,0.9907259739611425,0.3230164963676476,-0.1333427960762138,0.0,,post_2007,FF5,-0.00014566907045222334,-0.18849647025718053,0.8504874822508881,0.5786482275941165
Self_Built_Main,135,0.03621840844005663,0.1301998095394729,0.2781755869548813,0.9330292831680275,0.3524829936324041,-0.3242523056785138,0.0,,post_2007,CAPM,0.0027539000061150374,0.7534820098317276,0.4511603179333826,0.00952962478795949
Self_Built_Main,135,0.03621840844005663,0.1301998095394729,0.2781755869548813,0.9330292831680275,0.3524829936324041,-0.3242523056785138,0.0,,post_2007,FF3,0.004175107083934261,1.1686257442010235,0.24255445127098751,0.08589020602714392
Self_Built_Main,135,0.03621840844005663,0.1301998095394729,0.2781755869548813,0.9330292831680275,0.3524829936324041,-0.3242523056785138,0.0,,post_2007,FF5,0.004045394385619859,1.1939948875453916,0.232479967905584,0.12341095072449948
FF_Bad_Basket,201,0.0259044776119403,0.051319135181926975,0.5047722943909441,2.0658696495286653,0.040129666883176984,-0.10176403893399011,0.0,,post_2007,CAPM,0.0018627699338925974,1.5432981489653304,0.12275845254508781,0.042860431336445015
