series,capm_alpha,ff3_alpha,ff5_alpha,capm_alpha_t,ff3_alpha_t,ff5_alpha_t,capm_alpha_p,ff3_alpha_p,ff5_alpha_p,capm_r_squared,ff3_r_squared,ff5_r_squared
FF_Bad_Basket,0.0022,0.0013,-0.002,1.9386,1.7063,-8.8586,0.0526,0.0879,0.0,0.1666,0.5563,0.9918
FF_Direct_Main,0.0023,0.0014,-0.0008,1.9031,1.7853,-1.2196,0.057,0.0742,0.2226,0.0924,0.4876,0.6679
FF_Good_Basket,-0.001,-0.002,-0.002,-0.6698,-8.8195,-8.8586,0.503,0.0,0.0,0.0072,0.9942,0.9942
Self_Bad_Basket,-0.0037,-0.0036,-0.0055,-0.8499,-0.825,-1.4072,0.3954,0.4094,0.1594,0.0059,0.0127,0.0263
Self_Built_Main,0.0028,0.0042,0.004,0.7535,1.1686,1.194,0.4512,0.2426,0.2325,0.0095,0.0859,0.1234
Self_Good_Basket,-0.0041,-0.0007,-0.0012,-0.8324,-0.2391,-0.4106,0.4052,0.811,0.6814,0.0137,0.4874,0.5417
