variable_name,corr_next_spread,reg_beta,reg_t,reg_p,low_state_mean,mid_state_mean,high_state_mean,extreme_gap,pre_corr,post_corr,sign_of_relationship,rough_strength,stable_across_subperiods,preliminary_decision
z_mkt_rf_3m,0.10062555062652268,0.002620018104718491,1.9585036402038973,0.05017094431623098,-0.005219202898550724,-6.058394160583943e-05,0.00038224637681159407,0.0056014492753623185,0.13550691561139375,0.07230220317425438,positive,strong,True,keep
z_TERM,0.050869115780307145,0.0011792720065536828,1.1071824524651541,0.26821505265918477,-0.004851438848920864,0.00030108695652173925,-0.0005311594202898553,0.004320279428631008,0.060892475796223235,0.03595101698887938,positive,moderate,True,keep
z_dDEF,-0.1580739426601138,-0.003520605614425266,-3.060911650325958,0.0022066419646892487,0.0010282608695652172,-0.0013670289855072467,-0.004692391304347826,-0.005720652173913043,-0.1362109410657329,-0.17731590407822437,negative,strong,True,keep
z_EPU,0.03300926016049927,0.0006313746954610186,0.5161155419945986,0.6057737135513227,-0.00472589928057554,0.0009195652173913044,-0.0011787769784172661,0.003547122302158274,0.15435580826353823,-0.0015502592699637,positive,weak,False,review
z_dTERM,0.02328490090339809,0.0006144411041279525,0.49361104347689183,0.6215808999991188,-0.0015768115942028983,-0.0041028985507246376,0.0006485507246376811,0.0022253623188405796,0.03836459476406231,0.007989402084331161,positive,weak,True,review
z_spread_3m,0.00140858455002419,3.536048790814791e-05,0.02286147834771218,0.9817607681836187,-0.002894927536231884,-0.002302919708029197,0.0002840579710144928,0.0031789855072463765,-0.0034621498827740235,-0.000527190672060273,positive,weak,False,review
z_spread_vol_12m,-0.0017934619597880816,-4.3782414727548116e-05,-0.03661100249878978,0.970795170687356,-0.0010999999999999998,-0.0033727611940298505,0.0004325925925925927,0.0015325925925925926,-0.06041237930107796,0.10218281725067185,negative,weak,False,review
z_cyclical_3m,-0.019353373981578086,-0.0004637489841809488,-0.3336625281244967,0.7386342288140988,-0.0018597826086956522,0.00028102189781021886,-0.003316304347826087,-0.0014565217391304347,-0.05397985325464034,0.0013478247970461984,negative,weak,False,review
z_DEF,-0.02607778579178139,-0.0005512009821170578,-0.41595005448665134,0.6774465511151393,-0.003003597122302158,-0.0013036231884057973,-0.0007876811594202897,0.0022159159628818686,0.003022650108204221,-0.03854964374613581,negative,weak,False,review
z_spread_12m,-0.029074861027403896,-0.0007203104607639572,-0.5851786291015793,0.5584276130693527,-0.00023962962962962997,-0.003655597014925373,-0.0001470370370370367,9.259259259259328e-05,-0.010553659937936057,-0.07148012593924273,negative,weak,True,review
z_defensive_3m,-0.04190994556779731,-0.0009940583406785556,-0.6330645148769772,0.526691513848923,0.0018735507246376807,-0.0023321167883211683,-0.004455434782608695,-0.006328985507246376,-0.0755126456475367,0.0057487618474820566,negative,moderate,False,review
z_VIX,-0.04635080248144153,-0.0010498942323627365,-0.8427510279558503,0.399367701985072,-0.00016474820143884893,-0.004729347826086956,-0.00022137681159420275,-5.6628610155353814e-05,-0.022543385401594142,-0.06905018122011207,negative,moderate,True,review
