variable_name,avg_split_importance,split_stability_std,avg_permutation_importance,permutation_stability_std,n_windows
z_spread_3m,0.27584672015932465,0.04163291712642429,0.040624999999999994,0.09231694578061424,24
z_dTERM,0.11955379518534463,0.03001880486294699,0.014930555555555553,0.05973872089823454,24
z_TERM,0.1892512884263006,0.041136849274704214,0.014583333333333332,0.05161930975997857,24
z_mkt_rf_3m,0.23506248137564667,0.03397185739470649,0.008333333333333326,0.08729703859158053,24
z_dDEF,0.18028571485338343,0.043464123092872585,-0.0010416666666666675,0.07307565482773601,24
