window_end,variable_name,split_importance,perm_importance,avg_split_importance,split_stability_std,avg_permutation_importance,permutation_stability_std,n_windows
2001-03-31,z_mkt_rf_3m,0.2296209179401431,-0.07499999999999998,0.23506248137564667,0.03397185739470649,0.008333333333333326,0.08729703859158053,24
2001-03-31,z_TERM,0.2749290120233792,0.09166666666666669,0.1892512884263006,0.041136849274704214,0.014583333333333332,0.05161930975997857,24
2001-03-31,z_dDEF,0.1613802703274494,-0.024999999999999974,0.18028571485338343,0.043464123092872585,-0.0010416666666666675,0.07307565482773601,24
2001-03-31,z_dTERM,0.0723117641388664,0.0,0.11955379518534463,0.03001880486294699,0.014930555555555553,0.05973872089823454,24
2001-03-31,z_spread_3m,0.261758035570162,0.008333333333333364,0.27584672015932465,0.04163291712642429,0.040624999999999994,0.09231694578061424,24
2002-03-31,z_mkt_rf_3m,0.2249114146249714,-0.09999999999999998,0.23506248137564667,0.03397185739470649,0.008333333333333326,0.08729703859158053,24
2002-03-31,z_TERM,0.23865201628563482,0.008333333333333337,0.1892512884263006,0.041136849274704214,0.014583333333333332,0.05161930975997857,24
2002-03-31,z_dDEF,0.19534014646183126,-0.075,0.18028571485338343,0.043464123092872585,-0.0010416666666666675,0.07307565482773601,24
2002-03-31,z_dTERM,0.09611611394806001,0.008333333333333337,0.11955379518534463,0.03001880486294699,0.014930555555555553,0.05973872089823454,24
2002-03-31,z_spread_3m,0.24498030867950243,0.041666666666666685,0.27584672015932465,0.04163291712642429,0.040624999999999994,0.09231694578061424,24
2003-03-31,z_mkt_rf_3m,0.23977122016124466,-0.008333333333333314,0.23506248137564667,0.03397185739470649,0.008333333333333326,0.08729703859158053,24
2003-03-31,z_TERM,0.14986836607005297,-0.024999999999999977,0.1892512884263006,0.041136849274704214,0.014583333333333332,0.05161930975997857,24
2003-03-31,z_dDEF,0.2639768002416943,4.4408920985006264e-17,0.18028571485338343,0.043464123092872585,-0.0010416666666666675,0.07307565482773601,24
2003-03-31,z_dTERM,0.13032617331330698,-0.03333333333333331,0.11955379518534463,0.03001880486294699,0.014930555555555553,0.05973872089823454,24
2003-03-31,z_spread_3m,0.21605744021370105,0.03333333333333336,0.27584672015932465,0.04163291712642429,0.040624999999999994,0.09231694578061424,24
2004-03-31,z_mkt_rf_3m,0.20784931519796987,-0.050000000000000024,0.23506248137564667,0.03397185739470649,0.008333333333333326,0.08729703859158053,24
2004-03-31,z_TERM,0.18283100714787173,0.0,0.1892512884263006,0.041136849274704214,0.014583333333333332,0.05161930975997857,24
2004-03-31,z_dDEF,0.24391169999283926,-0.19166666666666668,0.18028571485338343,0.043464123092872585,-0.0010416666666666675,0.07307565482773601,24
2004-03-31,z_dTERM,0.13400337355077113,0.01666666666666667,0.11955379518534463,0.03001880486294699,0.014930555555555553,0.05973872089823454,24
2004-03-31,z_spread_3m,0.231404604110548,0.0,0.27584672015932465,0.04163291712642429,0.040624999999999994,0.09231694578061424,24
2005-03-31,z_mkt_rf_3m,0.2370275325216296,-0.07500000000000002,0.23506248137564667,0.03397185739470649,0.008333333333333326,0.08729703859158053,24
2005-03-31,z_TERM,0.26678271088284233,-0.008333333333333337,0.1892512884263006,0.041136849274704214,0.014583333333333332,0.05161930975997857,24
2005-03-31,z_dDEF,0.12775726956668565,-0.08333333333333334,0.18028571485338343,0.043464123092872585,-0.0010416666666666675,0.07307565482773601,24
2005-03-31,z_dTERM,0.13268663023646796,-0.025000000000000022,0.11955379518534463,0.03001880486294699,0.014930555555555553,0.05973872089823454,24
2005-03-31,z_spread_3m,0.2357458567923743,0.008333333333333323,0.27584672015932465,0.04163291712642429,0.040624999999999994,0.09231694578061424,24
2006-03-31,z_mkt_rf_3m,0.2716671377334377,0.016666666666666673,0.23506248137564667,0.03397185739470649,0.008333333333333326,0.08729703859158053,24
2006-03-31,z_TERM,0.24598443332581166,0.05833333333333336,0.1892512884263006,0.041136849274704214,0.014583333333333332,0.05161930975997857,24
2006-03-31,z_dDEF,0.1061781772076338,0.0,0.18028571485338343,0.043464123092872585,-0.0010416666666666675,0.07307565482773601,24
2006-03-31,z_dTERM,0.1806671668131488,0.03333333333333335,0.11955379518534463,0.03001880486294699,0.014930555555555553,0.05973872089823454,24
2006-03-31,z_spread_3m,0.19550308491996818,0.01666666666666668,0.27584672015932465,0.04163291712642429,0.040624999999999994,0.09231694578061424,24
2007-03-31,z_mkt_rf_3m,0.22911446281360565,0.0,0.23506248137564667,0.03397185739470649,0.008333333333333326,0.08729703859158053,24
2007-03-31,z_TERM,0.25361073469068246,0.016666666666666653,0.1892512884263006,0.041136849274704214,0.014583333333333332,0.05161930975997857,24
2007-03-31,z_dDEF,0.09441733362676678,0.0,0.18028571485338343,0.043464123092872585,-0.0010416666666666675,0.07307565482773601,24
2007-03-31,z_dTERM,0.20230200370162588,0.05833333333333329,0.11955379518534463,0.03001880486294699,0.014930555555555553,0.05973872089823454,24
2007-03-31,z_spread_3m,0.22055546516731914,0.0,0.27584672015932465,0.04163291712642429,0.040624999999999994,0.09231694578061424,24
2008-03-31,z_mkt_rf_3m,0.26672529881534324,0.041666666666666616,0.23506248137564667,0.03397185739470649,0.008333333333333326,0.08729703859158053,24
2008-03-31,z_TERM,0.20619497601667988,0.041666666666666644,0.1892512884263006,0.041136849274704214,0.014583333333333332,0.05161930975997857,24
2008-03-31,z_dDEF,0.15179283391486034,0.024999999999999977,0.18028571485338343,0.043464123092872585,-0.0010416666666666675,0.07307565482773601,24
