date,ret,W_RMW,W_CMA,W_HML,turnover,clip_hit,selected_lambda
2000-09-30,0.05160161339317894,0.33316645762497066,0.33368408415572925,0.33314945821930014,9.3211676979843e-05,0.0,10
2000-10-31,0.06275502641838285,0.3331913424306971,0.3336551198862435,0.33315353768305944,5.792853897146344e-05,0.0,10
2000-11-30,0.11211952175688,0.3332110045148718,0.33366291464499875,0.33312608084012946,5.4913685859914185e-05,0.0,10
2000-12-31,0.04763032802751953,0.33322584887742845,0.3336650798784339,0.33310907124413763,3.4019191983647445e-05,0.0,10
2001-01-31,-0.05153369481438567,0.33321429719682133,0.333670855369018,0.33311484743416075,2.3103361214360518e-05,0.0,10
2001-02-28,0.10119458158021713,0.33325787809448315,0.33357448481504537,0.3331676370904716,0.00019274110794531563,0.0,10
2001-03-31,0.04510000005664033,0.33333332716381214,0.33333333829572154,0.33333333454046626,0.0004822930386474966,0.0,100000
2001-04-30,-0.036699999966253324,0.3333333339272502,0.3333333350626775,0.33333333101007245,1.3526875897174051e-08,0.0,100000
2001-05-31,0.018733333182620087,0.33333333947593324,0.3333333305995509,0.333333329924516,1.1097366137136078e-08,0.0,100000
2001-06-30,-0.004533333170515672,0.3333333384465122,0.3333333289151143,0.3333333326383735,5.427715166206326e-09,0.0,100000
2001-07-31,0.05046666688603283,0.33333333881223015,0.33333332888650496,0.3333333323012649,7.314359118382185e-10,0.0,100000
2001-08-31,0.043999999939539465,0.3333333388853535,0.3333333302487359,0.3333333308659106,2.8707085597545756e-09,0.0,100000
2001-09-30,0.03300000011899244,0.33333333816482685,0.3333333305686897,0.33333333126648335,1.4410531656849912e-09,0.0,100000
2001-10-31,-0.048833333074450445,0.33333334401198006,0.33333332643494284,0.3333333295530771,1.1694306301102131e-08,0.0,100000
2001-11-30,-0.01000000037162452,0.33333334448106516,0.3333333265973048,0.3333333289216301,1.2628940671000066e-09,0.0,100000
2001-12-31,0.0027000000379672475,0.33333334813957194,0.33333332230965695,0.3333333295507711,8.575295640245173e-09,0.0,100000
2002-01-31,0.036600000492448825,0.33333336501409544,0.33333332020946216,0.33333331477644235,3.374904705699677e-08,0.0,100000
2002-02-28,0.05156666813022442,0.33333336530961943,0.33333332043866215,0.33333331425171836,1.0494479729672435e-09,0.0,100000
2002-03-31,-0.0003000013088094818,0.3333333806310549,0.33333331724899684,0.33333330211994844,3.0642870685326784e-08,0.0,100000
2002-04-30,0.04650000003273698,0.33333338181057726,0.3333333147937046,0.3333333033957181,4.910584272543872e-09,0.0,100000
2002-05-31,0.021200000179381884,0.33333337717058653,0.3333333168053715,0.33333330602404193,9.279981449950014e-09,0.0,100000
2002-06-30,0.023166667924418963,0.3333333794531437,0.3333333167612386,0.3333333037856177,4.565114231080969e-09,0.0,100000
2002-07-31,-0.00256666388522375,0.33333337616991304,0.33333331810322164,0.33333330572686526,6.566461208112884e-09,0.0,100000
2002-08-31,0.00993333324002859,0.3333333746694875,0.33333332007691185,0.33333330525360055,3.947380478042106e-09,0.0,100000
2002-09-30,0.007533334353146354,0.3333333647013008,0.3333333225433817,0.3333333127553174,1.993637338548737e-08,0.0,100000
2002-10-31,-0.020633333540640116,0.33333336271735015,0.3333333247896609,0.3333333124929888,4.492558436375305e-09,0.0,100000
2002-11-30,-0.017500003878961664,0.3333333723119583,0.3333333218524646,0.33333330583557724,1.9189215993975495e-08,0.0,100000
2002-12-31,0.022133335511952616,0.33333337200315594,0.33333331921487824,0.3333333087819659,5.892777377169978e-09,0.0,100000
2003-01-31,-0.003433333549000447,0.3333333655100055,0.33333332180497044,0.3333333126850242,1.29863009790121e-08,0.0,100000
2003-02-28,-0.00416666608380245,0.33333336434716937,0.333333320990207,0.3333333146626235,3.95519883511497e-09,0.0,100000
2003-03-31,-0.004133332332449563,0.33333336111775125,0.3333333293221281,0.33333330956012064,1.666384208398597e-08,0.0,100000
2003-04-30,-0.008266668281218354,0.3333333609280484,0.333333327693124,0.33333331137882743,3.63741375908333e-09,0.0,100000
2003-05-31,-0.010566669062238966,0.3333333630599515,0.3333333280819125,0.33333330885813617,5.041382866721733e-09,0.0,100000
2003-06-30,0.0006000000936577725,0.3333333605159696,0.333333331090766,0.3333333083932643,6.017707221417368e-09,0.0,100000
2003-07-31,-0.013000000901193088,0.3333333665600517,0.33333332949587313,0.33333330394407507,1.2088164191847994e-08,0.0,100000
2003-08-31,0.0049999984905576035,0.33333337055034495,0.33333332415414924,0.33333330529550587,1.068344795962517e-08,0.0,100000
2003-09-30,0.004833333587056038,0.33333336987159834,0.3333333244562555,0.33333330567214625,1.3574932844484522e-09,0.0,100000
2003-10-31,0.008266665636446548,0.33333336313502604,0.3333333262510747,0.3333333106138993,1.347314454447357e-08,0.0,100000
2003-11-30,0.012033332864203002,0.3333333646478674,0.33333332403550026,0.33333331131663235,4.431148836747667e-09,0.0,100000
2003-12-31,0.009766666445437493,0.33333336337105507,0.3333333240719076,0.33333331255703735,2.5536246450741373e-09,0.0,100000
2004-01-31,0.0071666648391700205,0.3333333622348781,0.33333332370436053,0.33333331406076144,3.0074481238706596e-09,0.0,100000
2004-02-29,0.006366667161718213,0.33333335776858564,0.33333332358259904,0.33333331864881544,9.176107929054211e-09,0.0,100000
2004-03-31,0.0030000000052534097,0.33333333367756063,0.33333333330313647,0.3333333330193028,4.818204979439855e-08,0.0,100000
2004-04-30,-0.008666666666117689,0.3333333333100382,0.3333333338601885,0.33333333282977323,1.1141039757411875e-09,0.0,100000
2004-05-31,-0.004466666686768399,0.33333333495786,0.3333333312181128,0.33333333382402736,5.284151560758232e-09,0.0,100000
2004-06-30,0.006733333372854838,0.333333334751179,0.33333333064928294,0.33333333459953807,1.5510215889413814e-09,0.0,100000
2004-07-31,0.02250000004314764,0.33333333447004937,0.33333333291441525,0.33333333261553555,4.530264441360288e-09,0.0,100000
2004-08-31,0.003133333309971378,0.3333333338372117,0.3333333343216871,0.33333333184110114,2.8145439312510234e-09,0.0,100000
2004-09-30,-0.01086666668765441,0.3333333321563061,0.3333333356050061,0.33333333223868766,3.3618111072719614e-09,0.0,100000
2004-10-31,-0.00126666664588607,0.33333333178659724,0.3333333358116034,0.3333333324017994,7.394179157849123e-10,0.0,100000
2004-11-30,0.00290000005075012,0.3333333301333417,0.3333333342550307,0.3333333356116275,6.419656306544397e-09,0.0,100000
2004-12-31,-0.0030333333092423483,0.33333332974673996,0.33333333235972057,0.3333333378935394,4.563823818859447e-09,0.0,100000
2005-01-31,0.011499999994177407,0.33333332928390746,0.33333333263756504,0.33333333807852744,9.256649891042912e-10,0.0,100000
